wl,Ag_k,PDMS_k
2.52,17.850000,0.00009130
2.53,17.920000,0.00008860
2.54,17.990000,0.00008740
2.55,18.060000,0.00008690
2.56,18.140000,0.00008800
2.57,18.210000,0.00009200
2.58,18.280000,0.00009700
2.59,18.350000,0.00010000
2.60,18.430000,0.00010300
2.61,18.500000,0.00010600
2.62,18.580000,0.00010800
2.63,18.650000,0.00010800
2.64,18.690000,0.00010800
2.65,18.730000,0.00010800
2.66,18.810000,0.00010900
2.67,18.890000,0.00010900
2.68,18.960000,0.00010800
2.69,19.040000,0.00010950
2.70,19.120000,0.00011025
2.71,19.200000,0.00011100
2.72,19.280000,0.00011200
2.73,19.360000,0.00011400
2.74,19.405000,0.00011400
2.75,19.450000,0.00011400
2.76,19.530000,0.00011300
2.77,19.610000,0.00011500
2.78,19.700000,0.00011600
2.79,19.780000,0.00011600
2.80,19.825000,0.00011700
2.81,19.870000,0.00011800
2.82,19.960000,0.00011900
2.83,20.040000,0.00011950
2.84,20.130000,0.00012000
2.85,20.220000,0.00012100
2.86,20.265000,0.00012100
2.87,20.310000,0.00012150
2.88,20.400000,0.00012125
2.89,20.490000,0.00012100
2.90,20.535000,0.00012100
2.91,20.580000,0.00012100
2.92,20.680000,0.00012200
2.93,20.770000,0.00012200
2.94,20.815000,0.00012200
2.95,20.860000,0.00012200
2.96,20.960000,0.00012400
2.97,21.060000,0.00012400
2.98,21.105000,0.00012300
2.99,21.150000,0.00012500
3.00,21.250000,0.00012525
3.01,21.350000,0.00012550
3.02,21.400000,0.00012525
3.03,21.450000,0.00012500
3.04,21.550000,0.00012700
3.05,21.600000,0.00013000
3.06,21.650000,0.00013150
3.07,21.750000,0.00013225
3.08,21.805000,0.00013300
3.09,21.860000,0.00013300
3.10,21.960000,0.00013400
3.11,22.015000,0.00013500
3.12,22.070000,0.00013800
3.13,22.170000,0.00013900
3.14,22.225000,0.00014000
3.15,22.280000,0.00014000
3.16,22.390000,0.00013950
3.17,22.445000,0.00013900
3.18,22.500000,0.00013700
3.19,22.610000,0.00013800
3.20,22.665000,0.00014000
3.21,22.720000,0.00014200
3.22,22.840000,0.00014550
3.23,22.895000,0.00014500
3.24,22.950000,0.00014550
3.25,23.010000,0.00014600
3.26,23.070000,0.00014700
3.27,23.180000,0.00015000
3.28,23.240000,0.00015050
3.29,23.300000,0.00015100
3.30,23.360000,0.00014800
3.31,23.420000,0.00014700
3.32,23.540000,0.00014900
3.33,23.600000,0.00100000
3.34,23.660000,0.00453500
3.35,23.720000,0.00807000
3.36,23.780000,0.01860000
3.37,23.840000,0.03190000
3.38,23.900000,0.03480000
3.39,24.030000,0.01830000
3.40,24.095000,0.00836000
3.41,24.160000,0.00355000
3.42,24.220000,0.00344000
3.43,24.280000,0.00333000
3.44,24.345000,0.00463000
3.45,24.410000,0.00456000
3.46,24.540000,0.00300000
3.47,24.605000,0.00145000
3.48,24.670000,0.00060650
3.49,24.740000,0.00016300
3.50,24.810000,0.00016400
3.51,24.875000,0.00016500
3.52,24.940000,0.00016700
3.53,25.010000,0.00016600
3.54,25.080000,0.00016500
3.55,25.145000,0.00016700
3.56,25.210000,0.00017000
3.57,25.280000,0.00016900
3.58,25.350000,0.00017000
3.59,25.420000,0.00017100
3.60,25.490000,0.00017000
3.61,25.560000,0.00016900
3.62,25.630000,0.00017000
3.63,25.705000,0.00017100
3.64,25.780000,0.00017300
3.65,25.850000,0.00017600
3.66,25.920000,0.00017500
3.67,25.995000,0.00017400
3.68,26.070000,0.00017500
3.69,26.145000,0.00017800
3.70,26.220000,0.00018000
3.71,26.295000,0.00018100
3.72,26.370000,0.00018200
3.73,26.420000,0.00018150
3.74,26.470000,0.00018100
3.75,26.520000,0.00017800
3.76,26.595000,0.00017900
3.77,26.670000,0.00018200
3.78,26.750000,0.00017000
3.79,26.830000,0.00014300
3.80,26.905000,0.00011900
3.81,26.980000,0.00010200
3.82,27.060000,0.00008860
3.83,27.140000,0.00007940
3.84,27.193333,0.00007610
