wl,k
3.1848,1.37E-04
3.1927,1.38E-04
3.2085,1.42E-04
3.2164,1.45E-04
3.2244,1.46E-04
3.2325,1.45E-04
3.2487,1.46E-04
3.2569,1.47E-04
3.2651,1.49E-04
3.2733,1.51E-04
3.2899,1.51E-04
3.2983,1.48E-04
3.3067,1.47E-04
3.3152,1.48E-04
3.3237,1.50E-04
3.3322,1.00E-03
3.3494,8.07E-03
3.3581,1.86E-02
3.3668,3.19E-02
3.3756,3.83E-02
3.3844,3.13E-02
3.3933,1.83E-02
3.4022,8.36E-03
3.4111,3.55E-03
3.4292,3.33E-03
3.4383,4.63E-03
3.4474,4.56E-03
3.4566,3.00E-03
3.4658,1.45E-03
3.4751,1.05E-03
3.4845,1.63E-04
3.4939,1.63E-04
3.5033,1.64E-04
3.5128,1.65E-04
3.5224,1.67E-04
3.5320,1.66E-04
3.5416,1.65E-04
3.5513,1.67E-04
3.5611,1.70E-04
3.5709,1.69E-04
3.5807,1.70E-04
3.5907,1.71E-04
3.6006,1.70E-04
3.6107,1.69E-04
3.6207,1.70E-04
3.6309,1.71E-04
3.6411,1.73E-04
3.6513,1.76E-04
3.6617,1.75E-04
3.6720,1.74E-04
3.6825,1.75E-04
3.6930,1.78E-04
3.7035,1.80E-04
3.7141,1.81E-04
3.7248,1.82E-04
3.7355,1.81E-04
3.7463,1.78E-04
3.7572,1.79E-04
3.7681,1.82E-04
3.7791,1.70E-04
3.7901,1.43E-04
3.8013,1.19E-04
3.8124,1.02E-04
3.8237,8.86E-05
3.8350,7.94E-05
3.8464,7.28E-05
3.8578,6.83E-05
3.8693,6.53E-05
3.8809,6.36E-05
3.8926,6.30E-05
3.9043,6.36E-05
3.9161,6.56E-05
3.9280,6.92E-05
3.9399,7.42E-05
3.9519,8.17E-05
3.9640,9.42E-05
3.9762,1.15E-04
3.9884,1.46E-04
4.0007,1.78E-04
4.0131,1.65E-04
4.0255,1.29E-04
4.0381,1.02E-04
4.0507,8.45E-05
4.0634,7.40E-05
4.0762,6.74E-05
4.0890,6.32E-05
4.1020,6.05E-05
4.1150,5.90E-05
4.1281,5.87E-05
4.1413,5.93E-05
4.1546,6.07E-05
4.1679,6.28E-05
4.1814,6.53E-05
4.1949,6.77E-05
4.2085,6.99E-05
4.2222,7.22E-05
4.2360,7.61E-05
4.2499,8.06E-05
4.2639,8.41E-05
4.2780,8.87E-05
4.2921,9.50E-05
4.3064,1.03E-04
4.3208,1.11E-04
4.3352,1.20E-04
4.3498,1.31E-04
4.3644,1.45E-04
4.3791,1.59E-04
4.3940,1.73E-04
4.4089,1.87E-04
4.4240,1.98E-04
4.4391,2.09E-04
4.4544,2.19E-04
4.4697,2.26E-04
4.4852,2.26E-04
4.5008,2.27E-04
4.5165,2.24E-04
4.5323,2.25E-04
4.5482,2.33E-04
4.5642,2.37E-04
4.5803,2.36E-04
4.5965,2.35E-04
4.6129,2.33E-04
4.6294,2.32E-04
4.6460,2.34E-04
