wl,n
0.0275043,0.9330428184375
0.0275677,0.9329370013216
0.0276312,0.9328302048089
0.0276949,0.9327223882382
0.0277587,0.9326135096896
0.0278227,0.9325035259305
0.0278869,0.9323923923584
0.0279512,0.9322800629379
0.0280156,0.9321664901317
0.0280802,0.9320516248251
0.0281449,0.9319354162398
0.0282098,0.9318178118346
0.0282748,0.9316987571866
0.02834,0.9315781958341
0.0284053,0.9314560690389
0.0284708,0.9313323152856
0.0285364,0.9312068677158
0.0286022,0.9310796644069
0.0286682,0.9309506503024
0.0287342,0.9308197502333
0.0288005,0.930686890884
0.0288669,0.9305519964788
0.0289334,0.9304149882634
0.0290001,0.9302757842048
0.029067,0.9301342987271
0.029134,0.9299904424447
0.0292011,0.9298441218801
0.0292685,0.9296952391599
0.0293359,0.9295436916868
0.0294036,0.9293893717831
0.0294713,0.9292321663052
0.0295393,0.9290719562266
0.0296074,0.9289086161897
0.0296756,0.9287420140251
0.029744,0.9285720102403
0.0298126,0.9283984574816
0.0298813,0.9282211999731
0.0299502,0.9280400729424
0.0300193,0.9278549020467
0.0300885,0.9276655028179
0.0301578,0.9274716801558
0.0302273,0.9272732279088
0.030297,0.9270699285982
0.0303669,0.9268615533645
0.0304369,0.9266478622446
0.030507,0.9264286049313
0.0305774,0.9262035222304
0.0306478,0.9259723485159
0.0307185,0.9257348156209
0.0307893,0.9254906588025
0.0308603,0.9252396257464
0.0309314,0.9249814901354
0.0310027,0.9247160723224
0.0310742,0.9244432717367
0.0311458,0.9241631206265
0.0312176,0.9238758839172
0.0312896,0.9235823063107
0.0313617,0.923284375123
0.031434,0.9229824256527
0.0315065,0.9226762651628
0.0315791,0.9223659831902
0.0316519,0.9220516954736
0.0317249,0.9217335168919
0.031798,0.9214115552395
0.0318713,0.92108590987
0.0319448,0.9207566717835
0.0320184,0.9204239241595
0.0320922,0.9200877429997
0.0321662,0.9197481977613
0.0322404,0.9194053519385
0.0323147,0.9190592635835
0.0323892,0.9187099857659
0.0324638,0.9183575669777
0.0325387,0.9180020514893
0.0326137,0.9176434796631
0.0326889,0.9172818882309
0.0327642,0.9169173105394
0.0328398,0.9165497767687
0.0329155,0.9161793141279
0.0329913,0.9158059470295
0.0330674,0.9154296972473
0.0331436,0.9150505840578
0.03322,0.9146686243693
0.0332966,0.9142838328385
0.0333734,0.9138962219775
0.0334503,0.9135058022509
0.0335274,0.9131125821656
0.0336047,0.912716568353
0.0336822,0.9123177656454
0.0337598,0.9119161771459
0.0338376,0.9115118042945
0.0339156,0.9111046469289
0.0339938,0.9106947033412
0.0340722,0.9102819703317
0.0341507,0.9098664432591
0.0342294,0.9094481160878
0.0343084,0.9090269814327
0.0343874,0.908603030602
0.0344667,0.9081762536375
0.0345462,0.9077466393531
