wl,n
3.72,1.455
3.75,1.472
3.77,1.489
3.79,1.506
3.81,1.524
3.83,1.541
3.86,1.56
3.88,1.578
3.90,1.597
3.93,1.616
3.95,1.636
3.98,1.656
4.00,1.676
4.03,1.697
4.05,1.718
4.08,1.739
4.10,1.761
4.13,1.783
4.15,1.806
4.18,1.829
4.21,1.853
4.24,1.877
4.26,1.901
4.29,1.926
4.32,1.951
4.35,1.977
4.38,2.004
4.41,2.031
4.44,2.059
4.47,2.087
4.50,2.115
4.53,2.145
4.56,2.175
4.60,2.205
4.63,2.236
4.66,2.268
4.70,2.301
4.73,2.334
4.76,2.368
4.80,2.403
4.84,2.438
4.87,2.474
4.91,2.512
4.95,2.55
4.99,2.588
5.02,2.628
5.06,2.669
5.10,2.71
5.14,2.753
5.18,2.796
5.23,2.841
5.27,2.886
5.31,2.933
5.36,2.981
5.40,3.03
5.45,3.08
5.49,3.132
5.54,3.185
5.59,3.239
5.63,3.294
5.68,3.351
5.74,3.41
5.79,3.47
5.84,3.532
5.89,3.595
5.95,3.66
6.00,3.726
6.06,3.795
6.11,3.865
6.17,3.938
6.23,4.012
6.29,4.089
6.35,4.168
6.42,4.249
6.48,4.332
6.55,4.418
6.61,4.507
6.68,4.598
6.75,4.692
6.82,4.788
6.89,4.888
6.97,4.991
7.04,5.097
7.12,5.207
7.20,5.32
7.28,5.437
7.36,5.557
7.45,5.682
7.54,5.811
7.62,5.944
7.71,6.082
7.81,6.225
7.90,6.373
8.00,6.526
8.10,6.684
8.20,6.848
8.31,7.019
8.42,7.195
8.53,7.379
8.64,7.569
8.76,7.767
8.88,7.972
9.00,8.186
9.13,8.408
9.26,8.639
9.39,8.88
9.53,9.131
9.67,9.393
9.82,9.665
9.97,9.95
10.13,10.25
10.29,10.56
10.45,10.88
10.62,11.22
10.80,11.58
10.98,11.95
11.17,12.34
11.37,12.75
11.57,13.18
11.78,13.63
12.00,14.1
12.23,14.6
12.46,15.12
12.71,15.67
12.96,16.25
13.23,16.87
13.50,17.52
13.79,18.2
14.09,18.93
14.40,19.7
14.73,20.51
15.07,21.37
15.43,22.29
15.81,23.27
16.20,24.31
16.62,25.41
17.05,26.59
17.51,27.85
18.00,29.2
18.52,30.65
19.06,32.2
19.64,33.86
20.25,35.65
20.90,37.57

