wl,Al2O3_n
3.10152e-06,0.999999995239093
3.12186e-06,0.999999995179402
3.14233e-06,0.99999999511749
3.16294e-06,0.999999995054282
3.18369e-06,0.999999994990002
3.20457e-06,0.99999999492473
3.22558e-06,0.999999994858502
3.24674e-06,0.999999994791332
3.26803e-06,0.999999994723221
3.28946e-06,0.999999994654173
3.31104e-06,0.999999994584187
3.33275e-06,0.999999994513256
3.35461e-06,0.999999994441371
3.37661e-06,0.999999994368522
3.39875e-06,0.999999994294699
3.42104e-06,0.999999994219889
3.44348e-06,0.999999994144082
3.46606e-06,0.999999994067265
3.4888e-06,0.999999993989424
3.51168e-06,0.999999993910548
3.53471e-06,0.999999993830629
3.55789e-06,0.999999993749655
3.58122e-06,0.999999993667611
3.60471e-06,0.999999993584482
3.62835e-06,0.999999993500255
3.65215e-06,0.999999993414914
3.6761e-06,0.999999993328444
3.70021e-06,0.999999993240831
3.72448e-06,0.999999993152058
3.7489e-06,0.99999999306211
3.77349e-06,0.999999992970977
3.79824e-06,0.999999992878647
3.82315e-06,0.9999999927851
3.84822e-06,0.999999992690321
3.87346e-06,0.999999992594292
3.89886e-06,0.999999992496997
3.92443e-06,0.999999992398419
3.95017e-06,0.999999992298539
3.97608e-06,0.999999992197341
4.00215e-06,0.999999992094804
4.0284e-06,0.999999991990918
4.05482e-06,0.999999991885668
4.08141e-06,0.999999991779034
4.10818e-06,0.999999991670996
4.13512e-06,0.999999991561536
4.16224e-06,0.999999991450634
4.18954e-06,0.999999991338271
4.21702e-06,0.999999991224427
4.24467e-06,0.999999991109081
4.27251e-06,0.999999990992209
4.30053e-06,0.999999990873799
4.32874e-06,0.999999990753836
4.35713e-06,0.999999990632296
4.3857e-06,0.999999990509158
4.41447e-06,0.999999990384399
4.44342e-06,0.999999990257997
4.47256e-06,0.999999990129931
4.50189e-06,0.999999990000177
4.53142e-06,0.999999989868712
4.56113e-06,0.999999989735511
4.59105e-06,0.999999989600555
4.62116e-06,0.999999989463828
4.65147e-06,0.999999989325305
4.68197e-06,0.999999989184961
4.71268e-06,0.99999998904277
4.74358e-06,0.999999988898708
4.77469e-06,0.999999988752749
4.80601e-06,0.999999988604867
4.83753e-06,0.999999988455037
4.86925e-06,0.999999988303228
4.90119e-06,0.999999988149419
4.93333e-06,0.999999987993589
4.96569e-06,0.999999987835714
4.99825e-06,0.999999987675764
5.03103e-06,0.999999987513709
5.06403e-06,0.999999987349522
5.09724e-06,0.999999987183174
5.13067e-06,0.999999987014635
5.16432e-06,0.999999986843876
5.19819e-06,0.999999986670864
5.23228e-06,0.99999998649557
5.2666e-06,0.999999986317972
5.30114e-06,0.999999986138043
5.3359e-06,0.99999998595575
5.3709e-06,0.999999985771059
5.40612e-06,0.999999985583938
5.44158e-06,0.999999985394355
5.47726e-06,0.999999985202275
5.51319e-06,0.999999985007665
5.54934e-06,0.999999984810488
5.58574e-06,0.99999998461071
5.62237e-06,0.999999984408303
5.65925e-06,0.999999984203242
5.69636e-06,0.999999983995486
5.73372e-06,0.999999983784998
5.77132e-06,0.999999983571741
5.80917e-06,0.999999983355677
5.84727e-06,0.999999983136769
5.88562e-06,0.999999982914978
5.92422e-06,0.999999982690264
5.96307e-06,0.999999982462583
6.00218e-06,0.999999982231905
6.04155e-06,0.999999981998201
6.08117e-06,0.999999981761427
6.12105e-06,0.999999981521539
6.16119e-06,0.999999981278496
6.2016e-06,0.999999981032254
6.24227e-06,0.999999980782771
6.28321e-06,0.999999980530002
6.32442e-06,0.999999980273902
6.3659e-06,0.999999980014424
6.40765e-06,0.999999979751527
6.44967e-06,0.99999997948518
6.49197e-06,0.999999979215334
6.53455e-06,0.99999997894194
6.5774e-06,0.99999997866495
6.62054e-06,0.999999978384315
6.66396e-06,0.999999978099986
6.70767e-06,0.999999977811913
6.75166e-06,0.999999977520045
6.79594e-06,0.999999977224328
6.84051e-06,0.999999976924713
6.88537e-06,0.999999976621161
6.93053e-06,0.999999976313625
6.97598e-06,0.999999976002045
7.02173e-06,0.999999975686367
7.06778e-06,0.999999975366535
7.11413e-06,0.999999975042493
7.16079e-06,0.999999974714186
7.20775e-06,0.999999974381553
7.25502e-06,0.999999974044535
7.30261e-06,0.999999973703072
7.3505e-06,0.999999973357121
7.39871e-06,0.999999973006628
7.44723e-06,0.999999972651528
7.49607e-06,0.999999972291758
7.54523e-06,0.999999971927254
7.59472e-06,0.999999971557953
7.64453e-06,0.99999997118379
7.69466e-06,0.999999970804699
7.74513e-06,0.999999970420611
7.79592e-06,0.999999970031456
7.84705e-06,0.999999969637181
7.89851e-06,0.999999969237732
7.95031e-06,0.999999968833032
8.00246e-06,0.99999996842301
8.05494e-06,0.999999968007594
8.10777e-06,0.99999996758671
8.16094e-06,0.999999967160285
8.21446e-06,0.999999966728244
8.26833e-06,0.999999966290511
8.32256e-06,0.999999965847001
8.37714e-06,0.999999965397652
8.43208e-06,0.999999964942406
8.48738e-06,0.999999964481177
8.54305e-06,0.999999964013883
8.59908e-06,0.99999996354044
8.65547e-06,0.999999963060767
8.71224e-06,0.99999996257478
8.76938e-06,0.999999962082393
8.82689e-06,0.999999961583518
8.88478e-06,0.999999961078062
8.94305e-06,0.999999960565949
9.0017e-06,0.999999960047109
9.06074e-06,0.999999959521453
9.12016e-06,0.999999958988885
9.17997e-06,0.99999995844931
9.24018e-06,0.999999957902635
9.30078e-06,0.999999957348764
9.36178e-06,0.999999956787599
9.42317e-06,0.999999956219041
9.48497e-06,0.999999955642986
9.54718e-06,0.999999955059338
9.60979e-06,0.999999954468019
9.67282e-06,0.999999953868934
9.73626e-06,0.999999953261972
9.80011e-06,0.999999952647026
9.86438e-06,0.999999952023987
9.92908e-06,0.999999951392746
9.99419e-06,0.999999950753194
1.00597e-05,0.999999950105217
1.01257e-05,0.999999949448697
1.01921e-05,0.999999948783519
