wl,Al2O3_k
1.13901e-05,5.57412e-11
1.14648e-05,5.62624e-11
1.154e-05,5.67801e-11
1.16157e-05,5.72946e-11
1.16918e-05,5.78953e-11
1.17685e-05,5.8507e-11
1.18457e-05,5.91147e-11
1.19234e-05,5.97185e-11
1.20016e-05,6.03183e-11
1.20803e-05,6.09143e-11
1.21595e-05,6.15063e-11
1.22393e-05,6.20945e-11
1.23195e-05,6.26789e-11
1.24003e-05,6.32594e-11
1.24817e-05,6.39151e-11
1.25635e-05,6.46088e-11
1.26459e-05,6.52981e-11
1.27289e-05,6.59828e-11
1.28123e-05,6.66631e-11
1.28964e-05,6.7339e-11
1.29809e-05,6.80105e-11
1.30661e-05,6.86776e-11
1.31518e-05,6.93403e-11
1.3238e-05,6.99987e-11
1.33248e-05,7.07162e-11
1.34122e-05,7.15087e-11
1.35002e-05,7.22959e-11
1.35887e-05,7.30781e-11
1.36778e-05,7.38552e-11
1.37676e-05,7.46271e-11
1.38578e-05,7.53941e-11
1.39487e-05,7.61561e-11
1.40402e-05,7.69131e-11
1.41323e-05,7.76651e-11
1.4225e-05,7.84521e-11
1.43183e-05,7.93631e-11
1.44122e-05,8.02681e-11
1.45067e-05,8.11672e-11
1.46018e-05,8.20604e-11
1.46976e-05,8.29479e-11
1.4794e-05,8.38295e-11
1.4891e-05,8.47054e-11
1.49887e-05,8.55756e-11
1.5087e-05,8.64401e-11
1.51859e-05,8.73048e-11
1.52855e-05,8.83614e-11
1.53858e-05,8.94111e-11
1.54867e-05,9.04539e-11
1.55882e-05,9.149e-11
1.56905e-05,9.25193e-11
1.57934e-05,9.3542e-11
1.58969e-05,9.45579e-11
1.60012e-05,9.55673e-11
1.61061e-05,9.657e-11
1.62118e-05,9.75663e-11
1.63181e-05,9.87573e-11
1.64251e-05,9.99843e-11
1.65328e-05,1.01203e-10
1.66413e-05,1.02414e-10
1.67504e-05,1.03618e-10
1.68603e-05,1.04813e-10
1.69708e-05,1.06001e-10
1.70821e-05,1.07181e-10
1.71942e-05,1.08353e-10
1.73069e-05,1.09517e-10
1.74204e-05,1.10858e-10
1.75347e-05,1.12305e-10
1.76497e-05,1.13742e-10
1.77654e-05,1.1517e-10
1.7882e-05,1.16589e-10
1.79992e-05,1.17998e-10
1.81173e-05,1.19399e-10
1.82361e-05,1.2079e-10
1.83557e-05,1.22172e-10
1.84761e-05,1.23545e-10
1.85973e-05,1.25059e-10
1.87192e-05,1.26782e-10
1.8842e-05,1.28493e-10
1.89656e-05,1.30193e-10
1.90899e-05,1.31882e-10
1.92151e-05,1.3356e-10
1.93412e-05,1.35227e-10
1.9468e-05,1.36883e-10
1.95957e-05,1.38528e-10
1.97242e-05,1.40163e-10
1.98536e-05,1.41878e-10
1.99838e-05,1.43947e-10
2.01148e-05,1.46002e-10
2.02467e-05,1.48044e-10
2.03795e-05,1.50072e-10
2.05132e-05,1.52087e-10
2.06477e-05,1.54089e-10
2.07831e-05,1.56078e-10
2.09194e-05,1.58054e-10
2.10566e-05,1.60018e-10
2.11947e-05,1.61968e-10
2.13337e-05,1.64472e-10
2.14736e-05,1.66964e-10
2.16145e-05,1.69439e-10
2.17562e-05,1.71899e-10
2.18989e-05,1.74343e-10
2.20425e-05,1.7677e-10
2.21871e-05,1.79182e-10
2.23326e-05,1.81578e-10
2.24791e-05,1.83959e-10
2.26265e-05,1.86324e-10
2.27749e-05,1.89238e-10
2.29243e-05,1.92287e-10
2.30746e-05,1.95316e-10
2.32259e-05,1.98326e-10
2.33783e-05,2.01315e-10
2.35316e-05,2.04286e-10
2.36859e-05,2.07237e-10
2.38413e-05,2.10169e-10
2.39976e-05,2.13081e-10
2.4155e-05,2.15975e-10
2.43134e-05,2.19377e-10
2.44729e-05,2.2314e-10
2.46334e-05,2.26878e-10
2.47949e-05,2.30593e-10
2.49575e-05,2.34283e-10
2.51212e-05,2.37948e-10
2.5286e-05,2.4159e-10
2.54518e-05,2.45209e-10
2.56187e-05,2.48803e-10
2.57868e-05,2.52375e-10
2.59559e-05,2.56354e-10
2.61261e-05,2.61036e-10
2.62974e-05,2.65688e-10
2.64699e-05,2.70309e-10
2.66435e-05,2.74901e-10
2.68182e-05,2.79462e-10
2.69941e-05,2.83994e-10
2.71712e-05,2.88496e-10
2.73494e-05,2.92969e-10
2.75287e-05,2.97412e-10
2.77093e-05,3.02071e-10
2.7891e-05,3.07943e-10
2.80739e-05,3.13776e-10
2.8258e-05,3.19572e-10
2.84434e-05,3.25329e-10
2.86299e-05,3.31049e-10
2.88177e-05,3.36732e-10
2.90067e-05,3.42378e-10
2.91969e-05,3.47987e-10
2.93884e-05,3.53559e-10
2.95811e-05,3.59096e-10
2.97751e-05,3.66428e-10
2.99704e-05,3.73797e-10
3.0167e-05,3.81117e-10
3.03648e-05,3.88389e-10
3.0564e-05,3.95614e-10
3.07644e-05,4.02792e-10
3.09662e-05,4.09924e-10
3.11693e-05,4.17008e-10
3.13737e-05,4.24047e-10
3.15794e-05,4.3104e-10
3.17865e-05,4.39841e-10
3.1995e-05,4.49204e-10
3.22048e-05,4.58505e-10
3.24161e-05,4.67746e-10
3.26286e-05,4.76927e-10
3.28426e-05,4.86048e-10
3.3058e-05,4.9511e-10
3.32748e-05,5.04112e-10
3.34931e-05,5.13056e-10
3.37127e-05,5.21941e-10
3.39338e-05,5.32511e-10
3.41564e-05,5.44478e-10
3.43804e-05,5.56368e-10
3.46059e-05,5.6818e-10
3.48328e-05,5.79915e-10
3.50613e-05,5.91573e-10
3.52912e-05,6.03156e-10
3.55227e-05,6.14663e-10
3.57556e-05,6.26095e-10
3.59901e-05,6.37452e-10
3.62262e-05,6.49473e-10
3.64638e-05,6.62872e-10
3.67029e-05,6.76185e-10
3.69436e-05,6.89411e-10
3.71859e-05,7.0255e-10
3.74298e-05,7.15604e-10
3.76753e-05,7.28573e-10
3.79223e-05,7.41458e-10
3.8171e-05,7.54258e-10
3.84214e-05,7.66975e-10
3.86734e-05,7.80134e-10
3.8927e-05,7.96776e-10
3.91823e-05,8.13309e-10
3.94393e-05,8.29735e-10
3.96979e-05,8.46054e-10
3.99583e-05,8.62267e-10
4.02203e-05,8.78373e-10
4.04841e-05,8.94375e-10
4.07496e-05,9.10273e-10
4.10169e-05,9.26067e-10
4.12859e-05,9.41758e-10
4.15567e-05,9.60298e-10
4.18292e-05,9.78208e-10
4.21035e-05,9.96876e-10
4.23797e-05,1.01574e-09
4.26576e-05,1.03523e-09
4.29374e-05,1.05506e-09
4.3219e-05,1.07536e-09
4.35024e-05,1.09614e-09
4.37877e-05,1.11708e-09
4.40749e-05,1.13836e-09
4.43639e-05,1.15982e-09
4.46549e-05,1.18206e-09
4.49478e-05,1.20433e-09
4.52425e-05,1.22753e-09
4.55393e-05,1.25062e-09
4.58379e-05,1.27526e-09
4.61385e-05,1.29974e-09
4.64411e-05,1.3248e-09
4.67457e-05,1.34977e-09
4.70523e-05,1.38122e-09
4.73609e-05,1.41423e-09
4.76715e-05,1.44828e-09
4.79841e-05,1.48272e-09
4.82988e-05,1.51853e-09
4.86156e-05,1.55536e-09
4.89344e-05,1.593e-09
4.92554e-05,1.63176e-09
4.95784e-05,1.67118e-09
4.99035e-05,1.71233e-09
5.02308e-05,1.7538e-09
5.05603e-05,1.79735e-09
5.08918e-05,1.84086e-09
5.12256e-05,1.88681e-09
5.15616e-05,1.93245e-09
5.18997e-05,1.98116e-09
5.22401e-05,2.02967e-09
5.25827e-05,2.08084e-09
5.29276e-05,2.13222e-09
5.32747e-05,2.18586e-09
5.36241e-05,2.2401e-09
5.39758e-05,2.29619e-09
5.43298e-05,2.35331e-09
5.46861e-05,2.41209e-09
5.50447e-05,2.47256e-09
5.54057e-05,2.53439e-09
5.57691e-05,2.59868e-09
5.61349e-05,2.66378e-09
5.6503e-05,2.73191e-09
5.68736e-05,2.80027e-09
5.72466e-05,2.87224e-09
5.7622e-05,2.94386e-09
5.79999e-05,3.01968e-09
5.83803e-05,3.095e-09
5.87632e-05,3.17508e-09
5.91486e-05,3.25518e-09
5.95365e-05,3.33936e-09
5.99269e-05,3.42424e-09
6.032e-05,3.51253e-09
6.07156e-05,3.60218e-09
6.11138e-05,3.69483e-09
6.15146e-05,3.78975e-09
6.1918e-05,3.8871e-09
6.23241e-05,3.98776e-09
6.27328e-05,4.08987e-09
6.31442e-05,4.19582e-09
6.35584e-05,4.3026e-09
6.39752e-05,4.41478e-09
6.43948e-05,4.5269e-09
6.48171e-05,4.6458e-09
6.52422e-05,4.76392e-09
6.56701e-05,4.88925e-09
6.61008e-05,5.01405e-09
6.65343e-05,5.14554e-09
6.69706e-05,5.27751e-09
6.74099e-05,5.41549e-09
6.7852e-05,5.55511e-09
6.82969e-05,5.69994e-09
6.87449e-05,5.84769e-09
6.91957e-05,5.99995e-09
6.96495e-05,6.15679e-09
7.01063e-05,6.31646e-09
7.05661e-05,6.48146e-09
7.10289e-05,6.64856e-09
7.14947e-05,6.82362e-09
7.19636e-05,6.99929e-09
7.24356e-05,7.18443e-09
7.29106e-05,7.36869e-09
7.33888e-05,7.56487e-09
7.38701e-05,7.75977e-09
7.43546e-05,7.96572e-09
7.48422e-05,8.17161e-09
7.53331e-05,8.38775e-09
7.58271e-05,8.60559e-09
7.63244e-05,8.8323e-09
7.6825e-05,9.06257e-09
7.73288e-05,9.30045e-09
7.7836e-05,9.54412e-09
7.83465e-05,9.79366e-09
7.88603e-05,1.00512e-08
7.93775e-05,1.03131e-08
7.98981e-05,1.0586e-08
8.04221e-05,1.0861e-08
8.09495e-05,1.11497e-08
8.14804e-05,1.14382e-08
8.20148e-05,1.17432e-08
8.25527e-05,1.20463e-08
8.30941e-05,1.23679e-08
8.3639e-05,1.26882e-08
8.41876e-05,1.30257e-08
8.47397e-05,1.33646e-08
8.52954e-05,1.37189e-08
8.58548e-05,1.40774e-08
8.64179e-05,1.44493e-08
8.69847e-05,1.48289e-08
8.75551e-05,1.5219e-08
8.81294e-05,1.56201e-08
8.87073e-05,1.60293e-08
8.92891e-05,1.64533e-08
8.98747e-05,1.68825e-08
9.04641e-05,1.73316e-08
9.10574e-05,1.77821e-08
9.16546e-05,1.8257e-08
9.22557e-05,1.87296e-08
9.28608e-05,1.92315e-08
9.34698e-05,1.973e-08
9.40828e-05,2.02578e-08
9.46998e-05,2.07854e-08
9.53209e-05,2.1339e-08
9.5946e-05,2.18968e-08
9.65753e-05,2.24774e-08
9.72087e-05,2.30672e-08
9.78462e-05,2.36766e-08
9.84879e-05,2.43009e-08
9.91338e-05,2.49401e-08
9.9784e-05,2.55999e-08
0.000100438,2.62702e-08
0.000101097,2.69683e-08
0.00010176,2.76717e-08
0.000102428,2.84101e-08
0.000103099,2.91479e-08
0.000103775,2.99286e-08
0.000104456,3.07041e-08
0.000105141,3.15275e-08
0.000105831,3.23474e-08
0.000106525,3.32113e-08
0.000107223,3.40786e-08
0.000107927,3.49849e-08
0.000108634,3.59018e-08
0.000109347,3.68524e-08
0.000110064,3.7822e-08
0.000110786,3.88193e-08
0.000111512,3.98449e-08
0.000112244,4.08909e-08
0.00011298,4.1975e-08
0.000113721,4.30718e-08
0.000114467,4.42182e-08
0.000115217,4.53684e-08
0.000115973,4.65801e-08
0.000116734,4.77858e-08
0.000117499,4.90672e-08
0.00011827,5.03402e-08
0.000119045,5.16865e-08
0.000119826,5.30325e-08
0.000120612,5.44449e-08
0.000121403,5.58684e-08
0.000122199,5.73495e-08
0.000123001,5.88538e-08
0.000123807,6.04072e-08
0.000124619,6.19981e-08
0.000125437,6.36268e-08
0.000126259,6.53073e-08
0.000127087,6.70146e-08
0.000127921,6.8792e-08
0.00012876,7.05826e-08
0.000129604,7.24612e-08
0.000130454,7.43383e-08
0.00013131,7.63245e-08
0.000132171,7.82977e-08
0.000133038,8.03922e-08
0.00013391,8.24781e-08
0.000134789,8.46746e-08
0.000135673,8.68795e-08
0.000136562,8.91837e-08
