wl,SIO2_n,SIO2_k
9.66,2.544425,1.38971265
9.67,2.563412,1.35720624
9.68,2.571067,1.34301948
9.69,2.578723,1.32883271
9.70,2.595369,1.29520329
9.71,2.604360,1.27576063
9.72,2.621042,1.23644251
9.73,2.628733,1.21656704
9.74,2.642745,1.17649865
9.75,2.649066,1.15630572
9.76,2.659064,1.12082870
9.77,2.662740,1.10554459
9.78,2.666417,1.09026048
9.79,2.673547,1.05455404
9.80,2.677002,1.03413170
9.81,2.682459,0.99339109
9.82,2.684461,0.97307283
9.83,2.687033,0.93268827
9.84,2.687602,0.91262198
9.85,2.687554,0.87780264
9.86,2.686936,0.86304959
9.87,2.686318,0.84829655
9.88,2.683545,0.81440381
9.89,2.681390,0.79526413
9.90,2.675826,0.75764015
9.91,2.672417,0.73915585
9.92,2.665581,0.70738302
9.93,2.662154,0.69409449
9.94,2.658728,0.68080595
9.95,2.649677,0.65066122
9.96,2.644054,0.63380503
9.97,2.631867,0.60103376
9.98,2.625304,0.58511868
9.99,2.611359,0.55429200
10.00,2.603977,0.53938040
10.01,2.590539,0.51407164
10.02,2.584483,0.50367448
10.03,2.578426,0.49327733
10.04,2.563727,0.47009446
10.05,2.555085,0.45730874
10.06,2.537357,0.43282663
10.07,2.528272,0.42113023
10.08,2.512132,0.40147607
10.09,2.505077,0.39351830
10.10,2.498023,0.38556054
10.11,2.481358,0.36806089
10.12,2.471747,0.35851900
10.13,2.452431,0.34047311
10.14,2.442725,0.33196910
10.15,2.425745,0.31783390
10.16,2.418470,0.31220271
10.17,2.411195,0.30657151
10.18,2.394318,0.29437575
10.19,2.384716,0.28781119
10.20,2.365690,0.27556551
10.21,2.356266,0.26988439
10.22,2.339960,0.26055501
10.23,2.333078,0.25690674
10.24,2.326196,0.25325847
10.25,2.310446,0.24549128
10.26,2.301577,0.24137235
10.27,2.284193,0.23380574
10.28,2.275678,0.23035806
10.29,2.261070,0.22477155
10.30,2.254976,0.22263272
10.31,2.248882,0.22049388
10.32,2.235077,0.21602425
10.33,2.227366,0.21369345
10.34,2.214194,0.20995049
10.35,2.208733,0.20853832
10.36,2.203272,0.20712616
10.37,2.190964,0.20420908
10.38,2.184118,0.20270416
10.39,2.170857,0.20000647
10.40,2.164443,0.19881370
10.41,2.153535,0.19691483
10.42,2.149041,0.19620873
10.43,2.144547,0.19550262
10.44,2.134468,0.19405102
10.45,2.128883,0.19330552
10.46,2.119399,0.19211078
10.47,2.115500,0.19166155
10.48,2.111601,0.19121232
10.49,2.102865,0.19026722
10.50,2.098028,0.18977136
10.51,2.088690,0.18884533
10.52,2.084188,0.18841518
10.53,2.076540,0.18768799
10.54,2.073393,0.18739096
10.55,2.070247,0.18709393
10.56,2.063182,0.18640891
10.57,2.059264,0.18602092
10.58,2.052593,0.18533226
10.59,2.049840,0.18503160
10.60,2.047087,0.18473093
10.61,2.040882,0.18400021
10.62,2.037430,0.18357016
10.63,2.031531,0.18278664
10.64,2.029085,0.18243317
10.65,2.026639,0.18207971
10.66,2.021094,0.18120537
10.67,2.017995,0.18068450
10.68,2.012676,0.17973193
10.69,2.010456,0.17930024
10.70,2.008236,0.17886854
10.71,2.003169,0.17780419
10.72,2.000322,0.17717154
10.73,1.994722,0.17584917
10.74,1.991968,0.17515945
10.75,1.987202,0.17391114
10.76,1.985190,0.17335253
10.77,1.983179,0.17279393
10.78,1.978539,0.17143904
10.79,1.975911,0.17064274
10.80,1.971339,0.16921430
10.81,1.969395,0.16858214
10.82,1.967452,0.16794999
10.83,1.962939,0.16643438
10.84,1.960370,0.16555092
10.85,1.955881,0.16397957
10.86,1.953961,0.16329168
10.87,1.952041,0.16260378
10.88,1.947558,0.16097246
10.89,1.944994,0.16002903
10.90,1.940498,0.15836440
10.91,1.938566,0.15764319
10.92,1.936633,0.15692198
10.93,1.932101,0.15522945
10.94,1.929502,0.15425812
10.95,1.924929,0.15255761
10.96,1.922956,0.15182842
10.97,1.920984,0.15109924
10.98,1.917010,0.14964701
10.99,1.915009,0.14892397
11.00,1.913007,0.14820092
11.01,1.908294,0.14653133
11.02,1.905582,0.14558479
11.03,1.900799,0.14394868
11.04,1.898729,0.14325912
11.05,1.896658,0.14256955
11.06,1.891773,0.14099751
11.07,1.888958,0.14011503
11.08,1.883991,0.13860598
11.09,1.881838,0.13797941
11.10,1.879685,0.13735284
11.11,1.874602,0.13594825
11.12,1.871672,0.13517024
11.13,1.866499,0.13385982
11.14,1.864256,0.13332740
11.15,1.862013,0.13279499
11.16,1.856717,0.13163187
11.17,1.853664,0.13100117
11.18,1.848276,0.12996538
11.19,1.845940,0.12956029
11.20,1.843605,0.12915521
11.21,1.838888,0.12842185
11.22,1.836507,0.12809357
11.23,1.834126,0.12776529
11.24,1.828511,0.12711391
11.25,1.825278,0.12679082
11.26,1.819578,0.12632079
11.27,1.817112,0.12617385
11.28,1.814645,0.12602692
11.29,1.808840,0.12582416
11.30,1.805501,0.12576834
11.31,1.799625,0.12578559
11.32,1.797088,0.12585865
11.33,1.794551,0.12593172
11.34,1.789450,0.12620274
11.35,1.786886,0.12640069
11.36,1.784322,0.12659864
11.37,1.778313,0.12724031
11.38,1.774868,0.12768402
11.39,1.768829,0.12860511
11.40,1.766235,0.12908248
11.41,1.763641,0.12955986
11.42,1.757588,0.13087903
11.43,1.754129,0.13172083
11.44,1.748088,0.13335672
11.45,1.745506,0.13415082
11.46,1.742924,0.13494491
11.47,1.737787,0.13670372
11.48,1.735232,0.13766844
11.49,1.732677,0.13863315
11.50,1.726771,0.14112055
11.51,1.723420,0.14264323
11.52,1.717617,0.14549032
11.53,1.715164,0.14681473
11.54,1.712712,0.14813913
11.55,1.707886,0.15097353
11.56,1.705513,0.15248352
11.57,1.703140,0.15399351
11.58,1.697737,0.15776537
11.59,1.694707,0.16002725
11.60,1.689527,0.16417013
11.61,1.687378,0.16605112
11.62,1.685228,0.16793212
11.63,1.681074,0.17187377
11.64,1.679070,0.17393443
11.65,1.677067,0.17599508
11.66,1.672616,0.18103181
11.67,1.670170,0.18400787
11.68,1.666082,0.18937548
11.69,1.664440,0.19176702
11.70,1.662798,0.19415856
11.71,1.659729,0.19908550
11.72,1.658302,0.20162089
11.73,1.656875,0.20415629
11.74,1.653860,0.21023819
11.75,1.652273,0.21378469
11.76,1.649750,0.22009252
11.77,1.648814,0.22285385
11.78,1.647879,0.22561518
11.79,1.646280,0.23121296
11.80,1.645616,0.23404941
11.81,1.644952,0.23688585
11.82,1.643908,0.24260458
11.83,1.643528,0.24548687
11.84,1.643148,0.24836915
11.85,1.642652,0.25511356
11.86,1.642536,0.25897569
11.87,1.642630,0.26571557
11.88,1.642839,0.26859332
11.89,1.643049,0.27147107
11.90,1.643764,0.27717375
11.91,1.644270,0.27999868
11.92,1.644776,0.28282361
11.93,1.646079,0.28838671
11.94,1.646876,0.29112488
11.95,1.647673,0.29386305
11.96,1.649905,0.30009239
11.97,1.651342,0.30358356
11.98,1.654121,0.30954192
11.99,1.655463,0.31200912
12.00,1.656806,0.31447633
12.01,1.659738,0.31923058
12.02,1.661327,0.32151764
12.03,1.662916,0.32380470
12.04,1.666318,0.32817272
12.05,1.668131,0.33025368
12.06,1.669944,0.33233463
12.07,1.674438,0.33688548
12.08,1.677119,0.33935536
12.09,1.681981,0.34343051
12.10,1.684161,0.34503579
12.11,1.686342,0.34664106
12.12,1.690843,0.34958996
12.13,1.693163,0.35093358
12.14,1.695483,0.35227721
12.15,1.700232,0.35469246
12.16,1.702661,0.35576409
12.17,1.705089,0.35683572
12.18,1.710024,0.35870079
12.19,1.712530,0.35949423
12.20,1.715036,0.36028766
12.21,1.720943,0.36176522
12.22,1.724345,0.36244933
12.23,1.730313,0.36336783
12.24,1.732880,0.36360222
12.25,1.735446,0.36383661
12.26,1.740564,0.36403194
12.27,1.743116,0.36399287
12.28,1.745668,0.36395380
12.29,1.750729,0.36361070
12.30,1.753238,0.36330667
12.31,1.755747,0.36300263
12.32,1.760697,0.36214100
12.33,1.763137,0.36158341
12.34,1.765578,0.36102582
12.35,1.770366,0.35967104
12.36,1.772714,0.35887385
12.37,1.775061,0.35807666
12.38,1.780387,0.35591862
12.39,1.783365,0.35455776
12.40,1.788444,0.35197075
12.41,1.790544,0.35074460
12.42,1.792645,0.34951845
12.43,1.796696,0.34688002
12.44,1.798646,0.34546773
12.45,1.800597,0.34405544
12.46,1.804335,0.34106517
12.47,1.806122,0.33948719
12.48,1.807910,0.33790921
12.49,1.811310,0.33460870
12.50,1.812923,0.33288618
12.51,1.814535,0.33116366
12.52,1.817578,0.32759562
12.53,1.819008,0.32575010
12.54,1.820438,0.32390458
12.55,1.823110,0.32011217
12.56,1.824351,0.31816527
12.57,1.825592,0.31621837
12.58,1.827883,0.31224460
12.59,1.828932,0.31021773
12.60,1.829981,0.30819086
12.61,1.832172,0.30338275
12.62,1.833314,0.30060152
12.63,1.835120,0.29569553
12.64,1.835784,0.29357078
12.65,1.836448,0.29144602
12.66,1.837588,0.28717695
12.67,1.838064,0.28503264
12.68,1.838539,0.28288833
12.69,1.839307,0.27859835
12.70,1.839599,0.27645268
12.71,1.839891,0.27430700
12.72,1.840298,0.27003121
12.73,1.840413,0.26790109
12.74,1.840528,0.26577097
12.75,1.840589,0.26154182
12.76,1.840535,0.25944279
12.77,1.840481,0.25734376
12.78,1.840214,0.25319085
12.79,1.840001,0.25113696
12.80,1.839788,0.24908308
12.81,1.839212,0.24503296
12.82,1.838850,0.24303672
12.83,1.838488,0.24104048
12.84,1.837625,0.23711657
12.85,1.837125,0.23518889
12.86,1.836624,0.23326121
12.87,1.835497,0.22948372
12.88,1.834871,0.22763390
12.89,1.834244,0.22578408
12.90,1.832877,0.22217001
12.91,1.832137,0.22040575
12.92,1.831396,0.21864149
12.93,1.829813,0.21520468
12.94,1.828971,0.21353211
12.95,1.828129,0.21185955
12.96,1.826355,0.20861074
12.97,1.825423,0.20703449
12.98,1.824491,0.20545823
12.99,1.822551,0.20240521
13.00,1.821542,0.20092844
13.01,1.820533,0.19945167
13.02,1.818450,0.19659943
13.03,1.817375,0.19522395
13.04,1.816301,0.19384847
13.05,1.814099,0.19119937
13.06,1.812971,0.18992575
13.07,1.811842,0.18865212
13.08,1.809543,0.18620613
13.09,1.808372,0.18503376
13.10,1.807201,0.18386139
13.11,1.804826,0.18161630
13.12,1.803622,0.18054357
13.13,1.802419,0.17947085
13.14,1.799988,0.17742252
13.15,1.798761,0.17644692
13.16,1.797534,0.17547132
13.17,1.795066,0.17361396
13.18,1.793824,0.17273219
13.19,1.792583,0.17185043
13.20,1.790094,0.17017680
13.21,1.788846,0.16938494
13.22,1.787598,0.16859308
13.23,1.785103,0.16709480
13.24,1.783856,0.16638839
13.25,1.782608,0.16568198
13.26,1.780121,0.16434975
13.27,1.778881,0.16372393
13.28,1.777640,0.16309812
13.29,1.775172,0.16192195
13.30,1.773944,0.16137160
13.31,1.772716,0.16082125
13.32,1.770277,0.15979070
13.33,1.769066,0.15931050
13.34,1.767854,0.15883031
13.35,1.765453,0.15793468
13.36,1.764262,0.15751924
13.37,1.763072,0.15710381
13.38,1.760715,0.15633233
13.39,1.759548,0.15597628
13.40,1.758382,0.15562023
13.41,1.756075,0.15496221
13.42,1.754934,0.15466025
13.43,1.753794,0.15435828
13.44,1.752653,0.15405631
13.45,1.751541,0.15380329
13.46,1.750428,0.15355026
13.47,1.749316,0.15329723
13.48,1.747120,0.15283516
13.49,1.746037,0.15262612
13.50,1.744953,0.15241708
13.51,1.742817,0.15203830
13.52,1.741763,0.15186855
13.53,1.740710,0.15169880
13.54,1.738633,0.15139418
13.55,1.737609,0.15125930
13.56,1.736586,0.15112443
13.57,1.734569,0.15088543
13.58,1.733575,0.15078130
13.59,1.732581,0.15067718
13.60,1.730624,0.15049589
13.61,1.729660,0.15041872
13.62,1.728695,0.15034155
13.63,1.726796,0.15021068
13.64,1.725860,0.15015699
13.65,1.724925,0.15010330
13.66,1.723081,0.15001625
13.67,1.722173,0.14998288
13.68,1.721265,0.14994952
13.69,1.719652,0.14990347
13.70,1.718947,0.14989078
13.71,1.718242,0.14987809
13.72,1.717537,0.14986540
13.73,1.715976,0.14985183
13.74,1.715120,0.14985095
13.75,1.714264,0.14985007
13.76,1.712575,0.14986107
13.77,1.711743,0.14987295
13.78,1.710910,0.14988484
13.79,1.709268,0.14991943
13.80,1.708458,0.14994214
13.81,1.707648,0.14996484
13.82,1.706049,0.15001941
13.83,1.705260,0.15005126
13.84,1.704471,0.15008312
13.85,1.703066,0.15014664
13.86,1.702451,0.15017830
13.87,1.701835,0.15020996
13.88,1.701219,0.15024162
13.89,1.699852,0.15031937
13.90,1.699100,0.15036546
13.91,1.698349,0.15041155
13.92,1.696862,0.15050924
13.93,1.696127,0.15056084
13.94,1.695392,0.15061244
13.95,1.693937,0.15072033
13.96,1.693217,0.15077663
13.97,1.692497,0.15083292
13.98,1.691071,0.15094955
13.99,1.690365,0.15100988
14.00,1.689659,0.15107022
14.01,1.688399,0.15118164
14.02,1.687844,0.15123274
14.03,1.687289,0.15128383
14.04,1.686735,0.15133493
14.05,1.685498,0.15145305
14.06,1.684816,0.15152008
14.07,1.684134,0.15158710
14.08,1.682781,0.15172405
14.09,1.682109,0.15179397
14.10,1.681438,0.15186389
14.11,1.680104,0.15200646
14.12,1.679442,0.15207911
14.13,1.678779,0.15215176
14.14,1.677594,0.15228465
14.15,1.677071,0.15234488
14.16,1.676548,0.15240512
14.17,1.676025,0.15246536
14.18,1.674855,0.15260353
14.19,1.674209,0.15268146
14.20,1.673563,0.15275940
14.21,1.672277,0.15291796
14.22,1.671637,0.15299858
14.23,1.670997,0.15307920
14.24,1.669724,0.15324324
14.25,1.669090,0.15332665
14.26,1.668457,0.15341007
14.27,1.667320,0.15356256
14.28,1.666818,0.15363163
14.29,1.666315,0.15370071
14.30,1.665812,0.15376979
14.31,1.664686,0.15392832
14.32,1.664063,0.15401778
14.33,1.663439,0.15410723
14.34,1.662196,0.15428946
14.35,1.661577,0.15438223
14.36,1.660958,0.15447499
14.37,1.659846,0.15464480
14.38,1.659354,0.15472184
14.39,1.658861,0.15479888
14.40,1.658369,0.15487593
14.41,1.657264,0.15505304
14.42,1.656652,0.15515311
14.43,1.656040,0.15525318
14.44,1.654819,0.15545734
14.45,1.654210,0.15556142
14.46,1.653601,0.15566551
14.47,1.652508,0.15585627
14.48,1.652023,0.15594295
14.49,1.651538,0.15602963
14.50,1.651053,0.15611631
14.51,1.649964,0.15631586
14.52,1.649361,0.15642872
14.53,1.648757,0.15654159
14.54,1.647553,0.15677209
14.55,1.646951,0.15688972
14.56,1.646350,0.15700735
14.57,1.645270,0.15722308
14.58,1.644791,0.15732119
14.59,1.644312,0.15741930
14.60,1.643833,0.15751741
14.61,1.642757,0.15774340
14.62,1.642160,0.15787128
14.63,1.641563,0.15799915
14.64,1.640372,0.15826037
14.65,1.639778,0.15839372
14.66,1.639183,0.15852706
14.67,1.638114,0.15877162
14.68,1.637640,0.15888283
14.69,1.637166,0.15899405
14.70,1.636692,0.15910527
14.71,1.635628,0.15936137
14.72,1.635038,0.15950627
14.73,1.634447,0.15965116
14.74,1.633386,0.15991681
14.75,1.632915,0.16003757
14.76,1.632445,0.16015832
14.77,1.631974,0.16027908
14.78,1.630917,0.16055700
14.79,1.630331,0.16071416
14.80,1.629745,0.16087132
14.81,1.628575,0.16119201
14.82,1.627992,0.16135553
14.83,1.627408,0.16151905
14.84,1.626359,0.16181857
14.85,1.625894,0.16195457
14.86,1.625429,0.16209058
14.87,1.624964,0.16222658
14.88,1.623920,0.16253917
14.89,1.623341,0.16271575
14.90,1.622762,0.16289234
14.91,1.621722,0.16321552
14.92,1.621261,0.16336212
14.93,1.620800,0.16350872
14.94,1.620339,0.16365532
14.95,1.619305,0.16399188
14.96,1.618732,0.16418185
14.97,1.618158,0.16437181
14.98,1.617129,0.16471915
14.99,1.616672,0.16487652
15.00,1.616216,0.16503389
15.01,1.615760,0.16519127
15.02,1.614737,0.16555211
15.03,1.614169,0.16575558
15.04,1.613602,0.16595905
15.05,1.612472,0.16637273
15.06,1.611908,0.16658294
15.07,1.611344,0.16679314
15.08,1.610332,0.16717687
15.09,1.609884,0.16735040
15.10,1.609436,0.16752392
15.11,1.608988,0.16769744
15.12,1.607984,0.16809449
15.13,1.607428,0.16831802
15.14,1.606871,0.16854154
15.15,1.605873,0.16894912
15.16,1.605431,0.16913316
15.17,1.604990,0.16931721
15.18,1.604548,0.16950125
15.19,1.603558,0.16992177
15.20,1.603010,0.17015823
15.21,1.602462,0.17039470
15.22,1.601479,0.17082535
15.23,1.601044,0.17101953
15.24,1.600610,0.17121372
15.25,1.600175,0.17140790
15.26,1.599201,0.17185090
15.27,1.598662,0.17209972
15.28,1.598123,0.17234854
15.29,1.597157,0.17280113
15.30,1.596730,0.17300490
15.31,1.596302,0.17320867
15.32,1.595875,0.17341244
15.33,1.595025,0.17382452
15.34,1.594601,0.17403283
15.35,1.594178,0.17424114
15.36,1.593755,0.17444944
15.37,1.592808,0.17492356
15.38,1.592284,0.17518937
15.39,1.591760,0.17545518
15.40,1.590821,0.17593776
15.41,1.590406,0.17615453
15.42,1.589992,0.17637130
15.43,1.589577,0.17658808
15.44,1.588649,0.17708068
15.45,1.588136,0.17735651
15.46,1.587623,0.17763233
15.47,1.586704,0.17813246
15.48,1.586298,0.17835677
15.49,1.585892,0.17858107
15.50,1.585486,0.17880537
15.51,1.584579,0.17931427
15.52,1.584077,0.17959886
15.53,1.583576,0.17988345
15.54,1.582677,0.18039881
15.55,1.582281,0.18062957
15.56,1.581884,0.18086034
15.57,1.581487,0.18109110
15.58,1.580601,0.18161381
15.59,1.580111,0.18190575
15.60,1.579621,0.18219769
15.61,1.578744,0.18272567
15.62,1.578357,0.18296170
15.63,1.577970,0.18319774
15.64,1.577583,0.18343377
15.65,1.576813,0.18390799
15.66,1.576431,0.18414618
15.67,1.576048,0.18438437
15.68,1.575666,0.18462256
15.69,1.574812,0.18516077
15.70,1.574340,0.18546078
15.71,1.573868,0.18576079
15.72,1.573023,0.18630229
15.73,1.572650,0.18654378
15.74,1.572277,0.18678527
15.75,1.571904,0.18702675
15.76,1.571163,0.18751085
15.77,1.570795,0.18775346
15.78,1.570427,0.18799607
15.79,1.570058,0.18823868
15.80,1.569236,0.18878551
15.81,1.568781,0.18908973
15.82,1.568327,0.18939394
15.83,1.567513,0.18994193
15.84,1.567154,0.19018570
15.85,1.566795,0.19042947
15.86,1.566436,0.19067324
15.87,1.565723,0.19116081
15.88,1.565368,0.19140461
15.89,1.565013,0.19164840
15.90,1.564659,0.19189220
15.91,1.563866,0.19244032
15.92,1.563428,0.19274463
15.93,1.562990,0.19304895
15.94,1.562206,0.19359600
15.95,1.561859,0.19383873
15.96,1.561513,0.19408147
15.97,1.561167,0.19432420
15.98,1.560478,0.19480858
15.99,1.560135,0.19505022
16.00,1.559793,0.19529187
16.01,1.559450,0.19553351
16.02,1.558684,0.19607538
16.03,1.558261,0.19637561
16.04,1.557837,0.19667584
16.05,1.557078,0.19721442
16.06,1.556742,0.19745277
16.07,1.556407,0.19769112
16.08,1.556071,0.19792948
16.09,1.555403,0.19840400
16.10,1.555071,0.19864016
16.11,1.554738,0.19887632
16.12,1.554406,0.19911249
16.13,1.553662,0.19964067
16.14,1.553249,0.19993270
16.15,1.552837,0.20022472
16.16,1.552098,0.20074748
16.17,1.551771,0.20097821
16.18,1.551443,0.20120894
16.19,1.551116,0.20143967
16.20,1.550464,0.20189791
16.21,1.550139,0.20212541
16.22,1.549813,0.20235292
16.23,1.549488,0.20258042
16.24,1.548839,0.20303188
16.25,1.548516,0.20325584
16.26,1.548192,0.20347979
16.27,1.547869,0.20370375
16.28,1.547142,0.20420283
16.29,1.546739,0.20447795
16.30,1.546336,0.20475307
16.31,1.545612,0.20524413
16.32,1.545290,0.20546007
16.33,1.544969,0.20567601
16.34,1.544647,0.20589195
16.35,1.544004,0.20631939
16.36,1.543683,0.20653090
16.37,1.543362,0.20674240
16.38,1.543040,0.20695391
16.39,1.542398,0.20737222
16.40,1.542076,0.20757903
16.41,1.541755,0.20778583
16.42,1.541433,0.20799264
16.43,1.540709,0.20845177
16.44,1.540306,0.20870410
16.45,1.539903,0.20895643
16.46,1.539177,0.20940546
16.47,1.538853,0.20960216
16.48,1.538530,0.20979886
16.49,1.538206,0.20999556
16.50,1.537557,0.21038358
16.51,1.537232,0.21057491
16.52,1.536906,0.21076624
16.53,1.536581,0.21095757
16.54,1.535928,0.21133468
16.55,1.535600,0.21152046
16.56,1.535272,0.21170624
16.57,1.534944,0.21189202
16.58,1.534285,0.21225788
16.59,1.533954,0.21243795
16.60,1.533623,0.21261803
16.61,1.533292,0.21279810
16.62,1.532543,0.21319597
16.63,1.532125,0.21341376
16.64,1.531706,0.21363156
16.65,1.530949,0.21401765
16.66,1.530610,0.21418594
16.67,1.530270,0.21435423
16.68,1.529931,0.21452252
16.69,1.529248,0.21485308
16.70,1.528904,0.21501534
16.71,1.528560,0.21517761
16.72,1.528215,0.21533988
16.73,1.527521,0.21565833
16.74,1.527171,0.21581452
16.75,1.526821,0.21597071
16.76,1.526471,0.21612689
16.77,1.525764,0.21643317
16.78,1.525408,0.21658325
16.79,1.525051,0.21673334
16.80,1.524695,0.21688342
16.81,1.523974,0.21717750
16.82,1.523611,0.21732148
16.83,1.523247,0.21746547
16.84,1.522883,0.21760946
16.85,1.522147,0.21789137
16.86,1.521775,0.21802929
16.87,1.521404,0.21816722
16.88,1.521032,0.21830514
16.89,1.520184,0.21860797
16.90,1.519708,0.21877288
16.91,1.519232,0.21893779
16.92,1.518756,0.21910269
16.93,1.518269,0.21926022
16.94,1.517781,0.21941775
16.95,1.517293,0.21957528
16.96,1.516404,0.21985306
16.97,1.516004,0.21997331
16.98,1.515603,0.22009356
16.99,1.515202,0.22021382
17.00,1.514389,0.22044871
17.01,1.513977,0.22056335
17.02,1.513565,0.22067799
17.03,1.513153,0.22079263
17.04,1.512317,0.22101649
17.05,1.511893,0.22112572
17.06,1.511469,0.22123495
17.07,1.511045,0.22134417
17.08,1.510184,0.22155744
17.09,1.509747,0.22166148
17.10,1.509310,0.22176553
17.11,1.508873,0.22186957
17.12,1.507985,0.22207273
17.13,1.507534,0.22217186
17.14,1.507083,0.22227099
17.15,1.506632,0.22237011
17.16,1.505716,0.22256375
17.17,1.505250,0.22265826
17.18,1.504784,0.22275277
17.19,1.504319,0.22284728
17.20,1.503372,0.22303203
17.21,1.502891,0.22312227
17.22,1.502409,0.22321251
17.23,1.501928,0.22330274
17.24,1.500949,0.22347933
17.25,1.500451,0.22356567
17.26,1.499953,0.22365202
17.27,1.499455,0.22373836
17.28,1.498442,0.22390758
17.29,1.497927,0.22399045
17.30,1.497412,0.22407332
17.31,1.496896,0.22415620
17.32,1.495847,0.22431893
17.33,1.495313,0.22439879
17.34,1.494779,0.22447865
17.35,1.494246,0.22455851
17.36,1.493159,0.22471572
17.37,1.492605,0.22479307
17.38,1.492052,0.22487043
17.39,1.491499,0.22494778
17.40,1.490372,0.22510053
17.41,1.489798,0.22517593
17.42,1.489225,0.22525132
17.43,1.488651,0.22532672
17.44,1.487482,0.22547615
17.45,1.486887,0.22555018
17.46,1.486292,0.22562422
17.47,1.485697,0.22569825
17.48,1.484485,0.22584560
17.49,1.483867,0.22591892
17.50,1.483250,0.22599224
17.51,1.482632,0.22606556
17.52,1.481374,0.22621218
17.53,1.480733,0.22628547
17.54,1.480092,0.22635877
17.55,1.479451,0.22643207
17.56,1.478145,0.22657940
17.57,1.477479,0.22665343
17.58,1.476814,0.22672746
17.59,1.476148,0.22680149
17.60,1.474792,0.22695108
17.61,1.474101,0.22702665
17.62,1.473410,0.22710221
17.63,1.472719,0.22717778
17.64,1.471310,0.22733132
17.65,1.470592,0.22740929
17.66,1.469874,0.22748726
17.67,1.469157,0.22756523
17.68,1.467693,0.22772451
17.69,1.466948,0.22780581
17.70,1.466202,0.22788712
17.71,1.465457,0.22796843
17.72,1.463937,0.22813537
17.73,1.463163,0.22822101
17.74,1.462388,0.22830665
17.75,1.461614,0.22839229
17.76,1.460035,0.22856897
17.77,1.459231,0.22866002
17.78,1.458426,0.22875106
17.79,1.457622,0.22884210
17.80,1.456121,0.22901447
17.81,1.455425,0.22909580
17.82,1.454729,0.22917713
17.83,1.454032,0.22925845
17.84,1.453336,0.22933978
17.85,1.451772,0.22952647
17.86,1.450904,0.22963184
17.87,1.450036,0.22973721
17.88,1.449168,0.22984258
17.89,1.447399,0.23006241
17.90,1.446497,0.23017687
17.91,1.445596,0.23029133
17.92,1.444694,0.23040579
17.93,1.442857,0.23064521
17.94,1.441921,0.23077017
17.95,1.440984,0.23089513
17.96,1.440048,0.23102009
17.97,1.438140,0.23128201
17.98,1.437168,0.23141897
17.99,1.436196,0.23155594
18.00,1.435223,0.23169290
18.01,1.433242,0.23198045
18.02,1.432233,0.23213104
18.03,1.431223,0.23228162
18.04,1.430214,0.23243221
18.05,1.428157,0.23274872
18.06,1.427109,0.23291465
18.07,1.426062,0.23308058
18.08,1.425014,0.23324651
18.09,1.423060,0.23356505
18.10,1.422154,0.23371765
18.11,1.421248,0.23387026
18.12,1.420342,0.23402287
18.13,1.419436,0.23417547
18.14,1.417401,0.23453038
18.15,1.416273,0.23473268
18.16,1.415145,0.23493498
18.17,1.414017,0.23513728
18.18,1.411718,0.23556318
18.19,1.410548,0.23578677
18.20,1.409377,0.23601037
18.21,1.408207,0.23623396
18.22,1.405823,0.23670472
18.23,1.404609,0.23695188
18.24,1.403396,0.23719903
18.25,1.402182,0.23744619
18.26,1.399710,0.23796650
18.27,1.398452,0.23823965
18.28,1.397193,0.23851279
18.29,1.395935,0.23878594
18.30,1.393373,0.23936083
18.31,1.392069,0.23966257
18.32,1.390765,0.23996430
18.33,1.389461,0.24026604
18.34,1.388157,0.24056778
18.35,1.386806,0.24090088
18.36,1.385455,0.24123399
18.37,1.384104,0.24156709
18.38,1.382753,0.24190020
18.39,1.380004,0.24260075
18.40,1.378605,0.24296820
18.41,1.377206,0.24333565
18.42,1.375807,0.24370309
18.43,1.372960,0.24447551
18.44,1.371512,0.24488048
18.45,1.370064,0.24528545
18.46,1.368616,0.24569042
18.47,1.365670,0.24654128
18.48,1.364172,0.24698717
18.49,1.362673,0.24743306
18.50,1.361175,0.24787895
18.51,1.358386,0.24873355
18.52,1.357095,0.24914225
18.53,1.355804,0.24955095
18.54,1.354513,0.24995965
18.55,1.353222,0.25036836
18.56,1.350330,0.25131593
18.57,1.348729,0.25185481
18.58,1.347128,0.25239368
18.59,1.345527,0.25293255
18.60,1.342272,0.25406287
18.61,1.340619,0.25465431
18.62,1.338965,0.25524575
18.63,1.337312,0.25583720
18.64,1.334236,0.25696899
18.65,1.332813,0.25750935
18.66,1.331391,0.25804970
18.67,1.329969,0.25859005
18.68,1.328546,0.25913041
18.69,1.325364,0.26038087
18.70,1.323603,0.26109098
18.71,1.321843,0.26180109
18.72,1.320083,0.26251120
18.73,1.316508,0.26399810
18.74,1.314694,0.26477490
18.75,1.312880,0.26555170
18.76,1.311066,0.26632850
18.77,1.307696,0.26781263
18.78,1.306139,0.26851998
18.79,1.304582,0.26922732
18.80,1.303026,0.26993466
18.81,1.301469,0.27064200
18.82,1.297992,0.27227581
18.83,1.296070,0.27320228
18.84,1.294149,0.27412875
18.85,1.292228,0.27505522
18.86,1.288332,0.27699180
18.87,1.286358,0.27800192
18.88,1.284384,0.27901204
18.89,1.282410,0.28002216
18.90,1.278747,0.28194904
18.91,1.277058,0.28286580
18.92,1.275370,0.28378255
18.93,1.273682,0.28469931
18.94,1.271993,0.28561607
18.95,1.268228,0.28772961
18.96,1.266151,0.28892640
18.97,1.264075,0.29012319
