wl,SIO2_n,SIO2_k
2.52,1.439081,0.00123659
2.53,1.438715,0.00125249
2.54,1.438202,0.00126928
2.55,1.437656,0.00128067
2.56,1.437369,0.00128450
2.57,1.436758,0.00128936
2.58,1.436093,0.00129324
2.59,1.435736,0.00129646
2.60,1.434967,0.00131020
2.61,1.434118,0.00134073
2.62,1.433660,0.00136435
2.63,1.432669,0.00142902
2.64,1.431556,0.00151312
2.65,1.430937,0.00156108
2.66,1.429518,0.00167614
2.67,1.427721,0.00187682
2.68,1.426611,0.00207387
2.69,1.423867,0.00299395
2.70,1.422289,0.00393489
2.71,1.419381,0.00726765
2.72,1.418271,0.01218491
2.73,1.418733,0.01465620
2.74,1.421074,0.01831339
2.75,1.422424,0.01935826
2.76,1.424604,0.02049658
2.77,1.426143,0.02127059
2.78,1.426821,0.02162000
2.79,1.428059,0.02217031
2.80,1.428588,0.02238263
2.81,1.429464,0.02280597
2.82,1.429850,0.02305238
2.83,1.430626,0.02360831
2.84,1.431038,0.02389376
2.85,1.431908,0.02442812
2.86,1.432357,0.02466876
2.87,1.433267,0.02509826
2.88,1.433728,0.02528971
2.89,1.434666,0.02562622
2.90,1.435146,0.02576840
2.91,1.436126,0.02599020
2.92,1.436624,0.02606592
2.93,1.437626,0.02614023
2.94,1.438126,0.02613724
2.95,1.439113,0.02604924
2.96,1.439596,0.02596430
2.97,1.440527,0.02571536
2.98,1.440971,0.02555388
2.99,1.441804,0.02516719
3.00,1.442191,0.02494736
3.01,1.442905,0.02446922
3.02,1.443233,0.02421615
3.03,1.443840,0.02369117
3.04,1.444122,0.02342086
3.05,1.444393,0.02314526
3.06,1.444906,0.02257468
3.07,1.445149,0.02227725
3.08,1.445605,0.02165191
3.09,1.445817,0.02132222
3.10,1.446016,0.02098065
3.11,1.446368,0.02026302
3.12,1.446518,0.01988862
3.13,1.446762,0.01911534
3.14,1.446854,0.01871976
3.15,1.446926,0.01832054
3.16,1.447009,0.01751784
3.17,1.447022,0.01711731
3.18,1.446995,0.01632375
3.19,1.446957,0.01593235
3.20,1.446904,0.01554525
3.21,1.446755,0.01478496
3.22,1.446661,0.01441192
3.23,1.446555,0.01404359
3.24,1.446308,0.01332073
3.25,1.446167,0.01296612
3.26,1.446016,0.01261608
3.27,1.445679,0.01193026
3.28,1.445494,0.01159495
3.29,1.445297,0.01126516
3.30,1.444872,0.01062373
3.31,1.444643,0.01031299
3.32,1.444402,0.01000953
3.33,1.443885,0.00942641
3.34,1.443602,0.00915013
3.35,1.443296,0.00889728
3.36,1.442979,0.00869607
3.37,1.442530,0.00840516
3.38,1.442387,0.00815032
3.39,1.442160,0.00781768
3.40,1.441479,0.00731353
3.41,1.441177,0.00716369
3.42,1.440939,0.00700721
3.43,1.440727,0.00679687
3.44,1.440191,0.00626743
3.45,1.439859,0.00602431
3.46,1.439517,0.00581083
3.47,1.439175,0.00561582
3.48,1.438482,0.00525622
3.49,1.438124,0.00511048
3.50,1.437797,0.00499930
3.51,1.437523,0.00486311
3.52,1.436884,0.00446349
3.53,1.436512,0.00430165
3.54,1.436147,0.00416262
3.55,1.435788,0.00403216
3.56,1.435075,0.00378766
3.57,1.434718,0.00367268
3.58,1.434362,0.00356209
3.59,1.434005,0.00345564
3.60,1.433648,0.00335317
3.61,1.432931,0.00315986
3.62,1.432570,0.00306901
3.63,1.432209,0.00298206
3.64,1.431847,0.00289909
3.65,1.431484,0.00282011
3.66,1.430756,0.00267419
3.67,1.430392,0.00260715
3.68,1.430027,0.00254390
3.69,1.429662,0.00248430
3.70,1.429297,0.00242812
3.71,1.428933,0.00237515
3.72,1.428206,0.00227777
3.73,1.427842,0.00223284
3.74,1.427479,0.00219007
3.75,1.427117,0.00214924
3.76,1.426754,0.00211014
3.77,1.426391,0.00207262
3.78,1.425665,0.00200187
3.79,1.425301,0.00196851
3.80,1.424937,0.00193646
3.81,1.424572,0.00190575
3.82,1.424205,0.00187640
3.83,1.423838,0.00184848
3.84,1.423469,0.00182205
3.85,1.422729,0.00177390
3.86,1.422357,0.00175230
3.87,1.421984,0.00173238
3.88,1.421610,0.00171418
3.89,1.421235,0.00169770
3.90,1.420859,0.00168292
3.91,1.420482,0.00166980
3.92,1.420105,0.00165830
3.93,1.419726,0.00164835
3.94,1.418967,0.00163284
3.95,1.418586,0.00162712
3.96,1.418205,0.00162263
3.97,1.417823,0.00161932
3.98,1.417439,0.00161709
3.99,1.417055,0.00161588
4.00,1.416670,0.00161564
4.01,1.416284,0.00161630
4.02,1.415897,0.00161782
4.03,1.415509,0.00162017
4.04,1.415120,0.00162333
4.05,1.414338,0.00163201
4.06,1.413945,0.00163753
4.07,1.413550,0.00164383
4.08,1.413154,0.00165094
4.09,1.412756,0.00165885
4.10,1.412357,0.00166758
4.11,1.411956,0.00167715
4.12,1.411554,0.00168756
4.13,1.411150,0.00169883
4.14,1.410744,0.00171095
4.15,1.410337,0.00172392
4.16,1.409927,0.00173774
4.17,1.409516,0.00175237
4.18,1.409102,0.00176780
4.19,1.408686,0.00178399
4.20,1.408268,0.00180089
4.21,1.407845,0.00181843
4.22,1.407418,0.00183657
4.23,1.406981,0.00185526
4.24,1.406527,0.00187642
4.25,1.406030,0.00192649
4.26,1.405230,0.00237165
4.27,1.405137,0.00241195
4.28,1.404873,0.00218971
4.29,1.404376,0.00203430
4.30,1.403865,0.00201355
4.31,1.403396,0.00202902
4.32,1.402944,0.00204707
4.33,1.402499,0.00206459
4.34,1.402055,0.00208142
4.35,1.401612,0.00209748
4.36,1.401169,0.00211274
4.37,1.400724,0.00212713
4.38,1.400277,0.00214065
4.39,1.399829,0.00215327
4.40,1.399377,0.00216500
4.41,1.398923,0.00217586
4.42,1.398466,0.00218587
4.43,1.398083,0.00219360
4.44,1.397929,0.00219654
4.45,1.397542,0.00220353
4.46,1.397074,0.00221131
4.47,1.396603,0.00221848
4.48,1.396128,0.00222513
4.49,1.395648,0.00223135
4.50,1.395165,0.00223723
4.51,1.394677,0.00224286
4.52,1.394184,0.00224835
