wl,Al_n,Al_k
2.67,3.751545,26.780552
2.68,3.772262,26.869379
2.69,3.792979,26.958207
2.70,3.813697,27.047034
2.71,3.834414,27.135862
2.72,3.855131,27.224690
2.73,3.875848,27.313517
2.74,3.896566,27.402345
2.75,3.917283,27.491172
2.76,3.960049,27.670200
2.77,3.982097,27.760400
2.78,4.004146,27.850600
2.79,4.026194,27.940800
2.80,4.048243,28.031000
2.81,4.070291,28.121200
2.82,4.092340,28.211400
2.83,4.114389,28.301600
2.84,4.136437,28.391800
2.85,4.158486,28.482000
2.86,4.180534,28.572200
2.87,4.202583,28.662400
2.88,4.224631,28.752600
2.89,4.246680,28.842800
2.90,4.268729,28.933000
2.91,4.290777,29.023200
2.92,4.312826,29.113400
2.93,4.334874,29.203600
2.94,4.356923,29.293800
2.95,4.378971,29.384000
2.96,4.401020,29.474200
2.97,4.423069,29.564400
2.98,4.445117,29.654600
2.99,4.467166,29.744800
3.00,4.489214,29.835000
3.01,4.511263,29.925200
3.02,4.533311,30.015400
3.03,4.555360,30.105600
3.04,4.577409,30.195800
3.05,4.599457,30.286000
3.06,4.621506,30.376200
3.07,4.643554,30.466400
3.08,4.665603,30.556600
3.09,4.687651,30.646800
3.10,4.729911,30.817333
3.11,4.750122,30.897667
3.12,4.770333,30.978000
3.13,4.790544,31.058333
3.14,4.810756,31.138667
3.15,4.830967,31.219000
3.16,4.851178,31.299333
3.17,4.871389,31.379667
3.18,4.891600,31.460000
3.19,4.911811,31.540333
3.20,4.932022,31.620667
3.21,4.952233,31.701000
3.22,4.972444,31.781333
3.23,4.992656,31.861667
3.24,5.012867,31.942000
3.25,5.033078,32.022333
3.26,5.053289,32.102667
3.27,5.095437,32.268842
3.28,5.117374,32.354684
3.29,5.139311,32.440526
3.30,5.161247,32.526368
3.31,5.183184,32.612211
3.32,5.205121,32.698053
3.33,5.227058,32.783895
3.34,5.248995,32.869737
3.35,5.270932,32.955579
3.36,5.292868,33.041421
3.37,5.314805,33.127263
3.38,5.336742,33.213105
3.39,5.358679,33.298947
3.40,5.380616,33.384789
3.41,5.402553,33.470632
3.42,5.424489,33.556474
3.43,5.446426,33.642316
3.44,5.468363,33.728158
3.45,5.512495,33.899429
3.46,5.534690,33.984857
3.47,5.556886,34.070286
3.48,5.579081,34.155714
3.49,5.601276,34.241143
3.50,5.623471,34.326571
3.51,5.645667,34.412000
3.52,5.667862,34.497429
3.53,5.690057,34.582857
3.54,5.712252,34.668286
3.55,5.734448,34.753714
3.56,5.756643,34.839143
3.57,5.778838,34.924571
3.58,5.801033,35.010000
3.59,5.823229,35.095429
3.60,5.845424,35.180857
3.61,5.867619,35.266286
3.62,5.889814,35.351714
3.63,5.912010,35.437143
3.64,5.934205,35.522571
3.65,5.978250,35.690792
3.66,6.000100,35.773583
3.67,6.021950,35.856375
