wl,Al_n,Al_k
10.27,25.963295,87.730819
10.28,25.999396,87.797416
10.29,26.035497,87.864013
10.30,26.071597,87.930611
10.31,26.107698,87.997208
10.32,26.143799,88.063805
10.33,26.179899,88.130403
10.34,26.251280,88.260203
10.35,26.286560,88.323406
10.36,26.321841,88.386609
10.37,26.357121,88.449812
10.38,26.392401,88.513014
10.39,26.427681,88.576217
10.40,26.462961,88.639420
10.41,26.498242,88.702623
10.42,26.533522,88.765826
10.43,26.568802,88.829029
10.44,26.604082,88.892232
10.45,26.639362,88.955435
10.46,26.674643,89.018638
10.47,26.709923,89.081841
10.48,26.745203,89.145043
10.49,26.780483,89.208246
10.50,26.815763,89.271449
10.51,26.851043,89.334652
10.52,26.886324,89.397855
10.53,26.921604,89.461058
10.54,26.956884,89.524261
10.55,26.992164,89.587464
10.56,27.027444,89.650667
10.57,27.062725,89.713870
10.58,27.098005,89.777072
10.59,27.133285,89.840275
10.60,27.168565,89.903478
10.61,27.203845,89.966681
10.62,27.239126,90.029884
10.63,27.274406,90.093087
10.64,27.309686,90.156290
10.65,27.344966,90.219493
10.66,27.380246,90.282696
10.67,27.415527,90.345899
10.68,27.450807,90.409101
10.69,27.486087,90.472304
10.70,27.521367,90.535507
10.71,27.556647,90.598710
10.72,27.591928,90.661913
10.73,27.627208,90.725116
10.74,27.662488,90.788319
10.75,27.697768,90.851522
10.76,27.733048,90.914725
10.77,27.768329,90.977928
10.78,27.803609,91.041130
10.79,27.838889,91.104333
10.80,27.874169,91.167536
10.81,27.909449,91.230739
10.82,27.944729,91.293942
10.83,27.980010,91.357145
10.84,28.015290,91.420348
10.85,28.050570,91.483551
10.86,28.085850,91.546754
10.87,28.121130,91.609957
10.88,28.156411,91.673159
10.89,28.191691,91.736362
10.90,28.226971,91.799565
10.91,28.262251,91.862768
10.92,28.297531,91.925971
10.93,28.332812,91.989174
10.94,28.368092,92.052377
10.95,28.403372,92.115580
10.96,28.438652,92.178783
10.97,28.473932,92.241986
10.98,28.509213,92.305188
10.99,28.544493,92.368391
11.00,28.579773,92.431594
11.01,28.615053,92.494797
11.02,28.650333,92.558000
11.03,28.685614,92.621203
11.04,28.720894,92.684406
11.05,28.756174,92.747609
11.06,28.791454,92.810812
11.07,28.826734,92.874014
11.08,28.862014,92.937217
11.09,28.897295,93.000420
11.10,28.932575,93.063623
11.11,28.967855,93.126826
11.12,29.003135,93.190029
11.13,29.038415,93.253232
11.14,29.073696,93.316435
11.15,29.108976,93.379638
11.16,29.144256,93.442841
11.17,29.179536,93.506043
11.18,29.214816,93.569246
11.19,29.250097,93.632449
11.20,29.285377,93.695652
11.21,29.320657,93.758855
11.22,29.355937,93.822058
11.23,29.391217,93.885261
11.24,29.426498,93.948464
11.25,29.461778,94.011667
11.26,29.497058,94.074870
11.27,29.532338,94.138072
11.28,29.567618,94.201275
11.29,29.602899,94.264478
11.30,29.638179,94.327681
11.31,29.673459,94.390884
11.32,29.708739,94.454087
11.33,29.744019,94.517290
11.34,29.779300,94.580493
11.35,29.814580,94.643696
11.36,29.849860,94.706899
11.37,29.885140,94.770101
11.38,29.920420,94.833304
11.39,29.955700,94.896507
11.40,29.990981,94.959710
11.41,30.026261,95.022913
11.42,30.061541,95.086116
11.43,30.096821,95.149319
11.44,30.132101,95.212522
11.45,30.167382,95.275725
11.46,30.202662,95.338928
11.47,30.237942,95.402130
11.48,30.273222,95.465333
11.49,30.308502,95.528536
11.50,30.343783,95.591739
11.51,30.379063,95.654942
11.52,30.414343,95.718145
11.53,30.449623,95.781348
11.54,30.484903,95.844551
11.55,30.520184,95.907754
11.56,30.555464,95.970957
11.57,30.590744,96.034159
11.58,30.626024,96.097362
11.59,30.661304,96.160565
11.60,30.696585,96.223768
11.61,30.731865,96.286971
11.62,30.767145,96.350174
11.63,30.802425,96.413377
11.64,30.837705,96.476580
11.65,30.872986,96.539783
11.66,30.908266,96.602986
11.67,30.943546,96.666188
11.68,30.978826,96.729391
11.69,31.014106,96.792594
11.70,31.049386,96.855797
11.71,31.084667,96.919000
11.72,31.119947,96.982203
11.73,31.155227,97.045406
11.74,31.190507,97.108609
11.75,31.225787,97.171812
11.76,31.261068,97.235014
11.77,31.296348,97.298217
11.78,31.331628,97.361420
11.79,31.366908,97.424623
11.80,31.402188,97.487826
11.81,31.437469,97.551029
11.82,31.472749,97.614232
11.83,31.508029,97.677435
11.84,31.543309,97.740638
11.85,31.578589,97.803841
11.86,31.613870,97.867043
11.87,31.649150,97.930246
11.88,31.684430,97.993449
11.89,31.719710,98.056652
11.90,31.754990,98.119855
11.91,31.790271,98.183058
11.92,31.825551,98.246261
11.93,31.860831,98.309464
11.94,31.896111,98.372667
11.95,31.931391,98.435870
11.96,31.966671,98.499072
11.97,32.001952,98.562275
11.98,32.037232,98.625478
11.99,32.072512,98.688681
12.00,32.107792,98.751884
12.01,32.143072,98.815087
12.02,32.178353,98.878290
12.03,32.213633,98.941493
12.04,32.248913,99.004696
12.05,32.284193,99.067899
12.06,32.319473,99.131101
12.07,32.354754,99.194304
12.08,32.390034,99.257507
12.09,32.425314,99.320710
12.10,32.460594,99.383913
12.11,32.495874,99.447116
12.12,32.531155,99.510319
12.13,32.566435,99.573522
12.14,32.601715,99.636725
12.15,32.636995,99.699928
12.16,32.672275,99.763130
12.17,32.707556,99.826333
12.18,32.742836,99.889536
12.19,32.778116,99.952739
12.20,32.813396,100.015942
12.21,32.848676,100.079145
12.22,32.883957,100.142348
12.23,32.919237,100.205551
12.24,32.954517,100.268754
12.25,32.989797,100.331957
12.26,33.025077,100.395159
12.27,33.060357,100.458362
12.28,33.095638,100.521565
12.29,33.130918,100.584768
12.30,33.166198,100.647971
12.31,33.201478,100.711174
12.32,33.236758,100.774377
12.33,33.272039,100.837580
12.34,33.307319,100.900783
12.35,33.342599,100.963986
12.36,33.377879,101.027188
12.37,33.413159,101.090391
12.38,33.448440,101.153594
12.39,33.483720,101.216797
12.40,33.554554,101.335252
12.41,33.590108,101.390504
12.42,33.625662,101.445755
12.43,33.661216,101.501007
12.44,33.696770,101.556259
12.45,33.732324,101.611511
12.46,33.767878,101.666763
12.47,33.803432,101.722014
12.48,33.838986,101.777266
12.49,33.874540,101.832518
12.50,33.910094,101.887770
12.51,33.945647,101.943022
12.52,33.981201,101.998273
12.53,34.016755,102.053525
12.54,34.052309,102.108777
12.55,34.087863,102.164029
12.56,34.123417,102.219281
12.57,34.158971,102.274532
12.58,34.194525,102.329784
12.59,34.230079,102.385036
12.60,34.265633,102.440288
12.61,34.301187,102.495540
12.62,34.336741,102.550791
12.63,34.372295,102.606043
12.64,34.407849,102.661295
12.65,34.443403,102.716547
12.66,34.478957,102.771799
12.67,34.514511,102.827050
12.68,34.550065,102.882302
12.69,34.585619,102.937554
12.70,34.621173,102.992806
12.71,34.656727,103.048058
12.72,34.692281,103.103309
12.73,34.727835,103.158561
12.74,34.763388,103.213813
12.75,34.798942,103.269065
12.76,34.834496,103.324317
12.77,34.870050,103.379568
12.78,34.905604,103.434820
12.79,34.941158,103.490072
12.80,34.976712,103.545324
12.81,35.012266,103.600576
12.82,35.047820,103.655827
12.83,35.083374,103.711079
12.84,35.118928,103.766331
12.85,35.154482,103.821583
12.86,35.190036,103.876835
12.87,35.225590,103.932086
12.88,35.261144,103.987338
12.89,35.296698,104.042590
12.90,35.332252,104.097842
12.91,35.367806,104.153094
12.92,35.403360,104.208345
12.93,35.438914,104.263597
12.94,35.474468,104.318849
12.95,35.510022,104.374101
12.96,35.545576,104.429353
12.97,35.581129,104.484604
12.98,35.616683,104.539856
12.99,35.652237,104.595108
13.00,35.687791,104.650360
13.01,35.723345,104.705612
13.02,35.758899,104.760863
13.03,35.794453,104.816115
13.04,35.830007,104.871367
13.05,35.865561,104.926619
13.06,35.901115,104.981871
13.07,35.936669,105.037122
13.08,35.972223,105.092374
13.09,36.007777,105.147626
13.10,36.043331,105.202878
13.11,36.078885,105.258129
13.12,36.114439,105.313381
13.13,36.149993,105.368633
13.14,36.185547,105.423885
13.15,36.221101,105.479137
13.16,36.256655,105.534388
13.17,36.292209,105.589640
13.18,36.327763,105.644892
13.19,36.363317,105.700144
13.20,36.398871,105.755396
13.21,36.434424,105.810647
13.22,36.469978,105.865899
13.23,36.505532,105.921151
13.24,36.541086,105.976403
13.25,36.576640,106.031655
13.26,36.612194,106.086906
13.27,36.647748,106.142158
13.28,36.683302,106.197410
13.29,36.718856,106.252662
13.30,36.754410,106.307914
13.31,36.789964,106.363165
13.32,36.825518,106.418417
13.33,36.861072,106.473669
13.34,36.896626,106.528921
13.35,36.932180,106.584173
13.36,36.967734,106.639424
13.37,37.003288,106.694676
13.38,37.038842,106.749928
13.39,37.074396,106.805180
13.40,37.109950,106.860432
13.41,37.145504,106.915683
13.42,37.181058,106.970935
13.43,37.216612,107.026187
13.44,37.252165,107.081439
13.45,37.287719,107.136691
13.46,37.323273,107.191942
13.47,37.358827,107.247194
13.48,37.394381,107.302446
13.49,37.429935,107.357698
13.50,37.465489,107.412950
13.51,37.501043,107.468201
13.52,37.536597,107.523453
13.53,37.572151,107.578705
13.54,37.607705,107.633957
13.55,37.643259,107.689209
13.56,37.678813,107.744460
13.57,37.714367,107.799712
13.58,37.749921,107.854964
13.59,37.785475,107.910216
13.60,37.821029,107.965468
13.61,37.856583,108.020719
13.62,37.892137,108.075971
13.63,37.927691,108.131223
13.64,37.963245,108.186475
13.65,37.998799,108.241727
13.66,38.034353,108.296978
13.67,38.069906,108.352230
13.68,38.105460,108.407482
13.69,38.141014,108.462734
13.70,38.176568,108.517986
13.71,38.212122,108.573237
13.72,38.247676,108.628489
13.73,38.283230,108.683741
13.74,38.318784,108.738993
13.75,38.354338,108.794245
13.76,38.389892,108.849496
13.77,38.425446,108.904748
13.78,38.491717,109.014509
13.79,38.522434,109.069017
13.80,38.553150,109.123526
13.81,38.583867,109.178035
13.82,38.614584,109.232543
13.83,38.645301,109.287052
13.84,38.676017,109.341561
13.85,38.706734,109.396069
13.86,38.737451,109.450578
13.87,38.768168,109.505087
13.88,38.798884,109.559595
13.89,38.829601,109.614104
13.90,38.860318,109.668613
13.91,38.891035,109.723121
13.92,38.921751,109.777630
13.93,38.952468,109.832139
13.94,38.983185,109.886647
13.95,39.013902,109.941156
13.96,39.044618,109.995665
13.97,39.075335,110.050173
13.98,39.106052,110.104682
13.99,39.136769,110.159191
14.00,39.167486,110.213699
14.01,39.198202,110.268208
14.02,39.228919,110.322717
14.03,39.259636,110.377225
14.04,39.290353,110.431734
14.05,39.321069,110.486243
14.06,39.351786,110.540751
14.07,39.382503,110.595260
14.08,39.413220,110.649769
14.09,39.443936,110.704277
14.10,39.474653,110.758786
14.11,39.505370,110.813295
14.12,39.536087,110.867803
14.13,39.566803,110.922312
14.14,39.597520,110.976821
14.15,39.628237,111.031329
14.16,39.658954,111.085838
14.17,39.689671,111.140347
14.18,39.720387,111.194855
14.19,39.751104,111.249364
14.20,39.781821,111.303873
14.21,39.812538,111.358382
14.22,39.843254,111.412890
14.23,39.873971,111.467399
14.24,39.904688,111.521908
14.25,39.935405,111.576416
14.26,39.966121,111.630925
14.27,39.996838,111.685434
14.28,40.027555,111.739942
14.29,40.058272,111.794451
14.30,40.088988,111.848960
14.31,40.119705,111.903468
14.32,40.150422,111.957977
14.33,40.181139,112.012486
14.34,40.211855,112.066994
14.35,40.242572,112.121503
14.36,40.273289,112.176012
14.37,40.304006,112.230520
14.38,40.334723,112.285029
14.39,40.365439,112.339538
14.40,40.396156,112.394046
14.41,40.426873,112.448555
14.42,40.457590,112.503064
14.43,40.488306,112.557572
14.44,40.519023,112.612081
14.45,40.549740,112.666590
14.46,40.580457,112.721098
14.47,40.611173,112.775607
14.48,40.641890,112.830116
14.49,40.672607,112.884624
14.50,40.703324,112.939133
14.51,40.734040,112.993642
14.52,40.764757,113.048150
14.53,40.795474,113.102659
14.54,40.826191,113.157168
14.55,40.856908,113.211676
14.56,40.887624,113.266185
14.57,40.918341,113.320694
14.58,40.949058,113.375202
14.59,40.979775,113.429711
14.60,41.010491,113.484220
14.61,41.041208,113.538728
14.62,41.071925,113.593237
14.63,41.102642,113.647746
14.64,41.133358,113.702254
14.65,41.164075,113.756763
14.66,41.194792,113.811272
14.67,41.225509,113.865780
14.68,41.256225,113.920289
14.69,41.286942,113.974798
14.70,41.317659,114.029306
14.71,41.348376,114.083815
14.72,41.379092,114.138324
14.73,41.409809,114.192832
14.74,41.440526,114.247341
14.75,41.471243,114.301850
14.76,41.501960,114.356358
14.77,41.532676,114.410867
14.78,41.563393,114.465376
14.79,41.594110,114.519884
14.80,41.624827,114.574393
14.81,41.655543,114.628902
14.82,41.686260,114.683410
14.83,41.716977,114.737919
14.84,41.747694,114.792428
14.85,41.778410,114.846936
14.86,41.809127,114.901445
14.87,41.839844,114.955954
14.88,41.870561,115.010462
14.89,41.901277,115.064971
14.90,41.931994,115.119480
14.91,41.962711,115.173988
14.92,41.993428,115.228497
14.93,42.024145,115.283006
14.94,42.054861,115.337514
14.95,42.085578,115.392023
14.96,42.116295,115.446532
14.97,42.147012,115.501040
14.98,42.177728,115.555549
14.99,42.208445,115.610058
15.00,42.239162,115.664566
15.01,42.269879,115.719075
15.02,42.300595,115.773584
15.03,42.331312,115.828092
15.04,42.362029,115.882601
15.05,42.392746,115.937110
15.06,42.423462,115.991618
15.07,42.454179,116.046127
15.08,42.484896,116.100636
15.09,42.515613,116.155145
15.10,42.546329,116.209653
15.11,42.577046,116.264162
15.12,42.607763,116.318671
15.13,42.638480,116.373179
15.14,42.669197,116.427688
15.15,42.699913,116.482197
15.16,42.730630,116.536705
15.17,42.761347,116.591214
15.18,42.792064,116.645723
15.19,42.822780,116.700231
15.20,42.853497,116.754740
15.21,42.884214,116.809249
15.22,42.914931,116.863757
15.23,42.945647,116.918266
15.24,42.976364,116.972775
15.25,43.007081,117.027283
15.26,43.037798,117.081792
15.27,43.068514,117.136301
15.28,43.099231,117.190809
15.29,43.129948,117.245318
15.30,43.160665,117.299827
15.31,43.191382,117.354335
15.32,43.222098,117.408844
15.33,43.252815,117.463353
15.34,43.283532,117.517861
15.35,43.314249,117.572370
15.36,43.344965,117.626879
15.37,43.375682,117.681387
15.38,43.406399,117.735896
15.39,43.437116,117.790405
15.40,43.467832,117.844913
15.41,43.498549,117.899422
15.42,43.529266,117.953931
15.43,43.559983,118.008439
15.44,43.590699,118.062948
15.45,43.621416,118.117457
15.46,43.652133,118.171965
15.47,43.682850,118.226474
15.48,43.713566,118.280983
15.49,43.744283,118.335491
15.50,43.807179,118.439776
15.51,43.839359,118.489552
15.52,43.871538,118.539327
15.53,43.903717,118.589103
15.54,43.935897,118.638879
15.55,43.968076,118.688655
15.56,44.000256,118.738430
15.57,44.032435,118.788206
15.58,44.064614,118.837982
15.59,44.096794,118.887758
15.60,44.128973,118.937534
15.61,44.161152,118.987309
15.62,44.193332,119.037085
15.63,44.225511,119.086861
15.64,44.257691,119.136637
15.65,44.289870,119.186413
15.66,44.322049,119.236188
15.67,44.354229,119.285964
15.68,44.386408,119.335740
15.69,44.418587,119.385516
15.70,44.450767,119.435291
15.71,44.482946,119.485067
15.72,44.515126,119.534843
15.73,44.547305,119.584619
15.74,44.579484,119.634395
15.75,44.611664,119.684170
15.76,44.643843,119.733946
15.77,44.676022,119.783722
15.78,44.708202,119.833498
15.79,44.740381,119.883274
15.80,44.772561,119.933049
15.81,44.804740,119.982825
15.82,44.836919,120.032601
15.83,44.869099,120.082377
15.84,44.901278,120.132152
15.85,44.933457,120.181928
15.86,44.965637,120.231704
15.87,44.997816,120.281480
15.88,45.029996,120.331256
15.89,45.062175,120.381031
15.90,45.094354,120.430807
15.91,45.126534,120.480583
15.92,45.158713,120.530359
15.93,45.190892,120.580135
15.94,45.223072,120.629910
15.95,45.255251,120.679686
15.96,45.287430,120.729462
15.97,45.319610,120.779238
15.98,45.351789,120.829013
15.99,45.383969,120.878789
16.00,45.416148,120.928565
16.01,45.448327,120.978341
16.02,45.480507,121.028117
16.03,45.512686,121.077892
16.04,45.544865,121.127668
16.05,45.577045,121.177444
16.06,45.609224,121.227220
16.07,45.641404,121.276996
16.08,45.673583,121.326771
16.09,45.705762,121.376547
16.10,45.737942,121.426323
16.11,45.770121,121.476099
16.12,45.802300,121.525874
16.13,45.834480,121.575650
16.14,45.866659,121.625426
16.15,45.898839,121.675202
16.16,45.931018,121.724978
16.17,45.963197,121.774753
16.18,45.995377,121.824529
16.19,46.027556,121.874305
16.20,46.059735,121.924081
16.21,46.091915,121.973857
16.22,46.124094,122.023632
16.23,46.156274,122.073408
16.24,46.188453,122.123184
16.25,46.220632,122.172960
16.26,46.252812,122.222735
16.27,46.284991,122.272511
16.28,46.317170,122.322287
16.29,46.349350,122.372063
16.30,46.381529,122.421839
16.31,46.413709,122.471614
16.32,46.445888,122.521390
16.33,46.478067,122.571166
16.34,46.510247,122.620942
16.35,46.542426,122.670717
16.36,46.574605,122.720493
16.37,46.606785,122.770269
16.38,46.638964,122.820045
16.39,46.671143,122.869821
16.40,46.703323,122.919596
16.41,46.735502,122.969372
16.42,46.767682,123.019148
16.43,46.799861,123.068924
16.44,46.832040,123.118700
16.45,46.864220,123.168475
16.46,46.896399,123.218251
16.47,46.928578,123.268027
16.48,46.960758,123.317803
16.49,46.992937,123.367578
16.50,47.025117,123.417354
16.51,47.057296,123.467130
16.52,47.089475,123.516906
16.53,47.121655,123.566682
16.54,47.153834,123.616457
16.55,47.186013,123.666233
16.56,47.218193,123.716009
16.57,47.250372,123.765785
16.58,47.282552,123.815561
16.59,47.314731,123.865336
16.60,47.346910,123.915112
16.61,47.379090,123.964888
16.62,47.411269,124.014664
16.63,47.443448,124.064439
16.64,47.475628,124.114215
16.65,47.507807,124.163991
16.66,47.539987,124.213767
16.67,47.572166,124.263543
16.68,47.604345,124.313318
16.69,47.636525,124.363094
16.70,47.668704,124.412870
16.71,47.700883,124.462646
16.72,47.733063,124.512422
16.73,47.765242,124.562197
16.74,47.797422,124.611973
16.75,47.829601,124.661749
16.76,47.861780,124.711525
16.77,47.893960,124.761300
16.78,47.926139,124.811076
16.79,47.958318,124.860852
16.80,47.990498,124.910628
16.81,48.022677,124.960404
16.82,48.054857,125.010179
16.83,48.087036,125.059955
16.84,48.119215,125.109731
16.85,48.151395,125.159507
16.86,48.183574,125.209283
16.87,48.215753,125.259058
16.88,48.247933,125.308834
16.89,48.280112,125.358610
16.90,48.312291,125.408386
16.91,48.344471,125.458161
16.92,48.376650,125.507937
16.93,48.408830,125.557713
16.94,48.441009,125.607489
16.95,48.473188,125.657265
16.96,48.505368,125.707040
16.97,48.537547,125.756816
16.98,48.569726,125.806592
16.99,48.601906,125.856368
17.00,48.634085,125.906143
17.01,48.666265,125.955919
17.02,48.698444,126.005695
17.03,48.730623,126.055471
17.04,48.762803,126.105247
17.05,48.794982,126.155022
17.06,48.827161,126.204798
17.07,48.859341,126.254574
17.08,48.891520,126.304350
17.09,48.923700,126.354126
17.10,48.955879,126.403901
17.11,48.988058,126.453677
17.12,49.020238,126.503453
17.13,49.052417,126.553229
17.14,49.084596,126.603004
17.15,49.116776,126.652780
17.16,49.148955,126.702556
17.17,49.181135,126.752332
17.18,49.213314,126.802108
17.19,49.245493,126.851883
17.20,49.277673,126.901659
17.21,49.309852,126.951435
17.22,49.342031,127.001211
17.23,49.374211,127.050987
17.24,49.406390,127.100762
17.25,49.438570,127.150538
17.26,49.470749,127.200314
17.27,49.502928,127.250090
17.28,49.535108,127.299865
17.29,49.567287,127.349641
17.30,49.599466,127.399417
17.31,49.631646,127.449193
17.32,49.663825,127.498969
17.33,49.696004,127.548744
17.34,49.728184,127.598520
17.35,49.760363,127.648296
17.36,49.792543,127.698072
17.37,49.824722,127.747848
17.38,49.856901,127.797623
17.39,49.889081,127.847399
17.40,49.921260,127.897175
17.41,49.953439,127.946951
17.42,49.985619,127.996726
17.43,50.017798,128.046502
17.44,50.049978,128.096278
17.45,50.082157,128.146054
17.46,50.114336,128.195830
17.47,50.146516,128.245605
17.48,50.178695,128.295381
17.49,50.210874,128.345157
17.50,50.243054,128.394933
17.51,50.275233,128.444709
17.52,50.307413,128.494484
17.53,50.339592,128.544260
17.54,50.371771,128.594036
17.55,50.403951,128.643812
17.56,50.436130,128.693587
17.57,50.468309,128.743363
17.58,50.500489,128.793139
17.59,50.532668,128.842915
17.60,50.564848,128.892691
17.61,50.597027,128.942466
17.62,50.629206,128.992242
17.63,50.661386,129.042018
17.64,50.693565,129.091794
17.65,50.725744,129.141570
17.66,50.757924,129.191345
17.67,50.790103,129.241121
17.68,50.822283,129.290897
17.69,50.854462,129.340673
17.70,50.886641,129.390448
17.71,50.918821,129.440224
17.72,50.976270,129.538175
17.73,51.001540,129.586350
17.74,51.026810,129.634526
17.75,51.052080,129.682701
17.76,51.077350,129.730876
17.77,51.102620,129.779051
17.78,51.127891,129.827226
17.79,51.153161,129.875401
17.80,51.178431,129.923577
17.81,51.203701,129.971752
17.82,51.228971,130.019927
17.83,51.254241,130.068102
17.84,51.279511,130.116277
17.85,51.304781,130.164453
17.86,51.330051,130.212628
17.87,51.355321,130.260803
17.88,51.380591,130.308978
17.89,51.405861,130.357153
17.90,51.431131,130.405328
17.91,51.456401,130.453504
17.92,51.481672,130.501679
17.93,51.506942,130.549854
17.94,51.532212,130.598029
17.95,51.557482,130.646204
17.96,51.582752,130.694380
17.97,51.608022,130.742555
17.98,51.633292,130.790730
17.99,51.658562,130.838905
18.00,51.683832,130.887080
18.01,51.709102,130.935255
18.02,51.734372,130.983431
18.03,51.759642,131.031606
18.04,51.784912,131.079781
18.05,51.810182,131.127956
18.06,51.835453,131.176131
18.07,51.860723,131.224307
18.08,51.885993,131.272482
18.09,51.911263,131.320657
18.10,51.936533,131.368832
18.11,51.961803,131.417007
18.12,51.987073,131.465182
18.13,52.012343,131.513358
18.14,52.037613,131.561533
18.15,52.062883,131.609708
18.16,52.088153,131.657883
18.17,52.113423,131.706058
18.18,52.138693,131.754234
18.19,52.163964,131.802409
18.20,52.189234,131.850584
18.21,52.214504,131.898759
18.22,52.239774,131.946934
18.23,52.265044,131.995109
18.24,52.290314,132.043285
18.25,52.315584,132.091460
18.26,52.340854,132.139635
18.27,52.366124,132.187810
18.28,52.391394,132.235985
18.29,52.416664,132.284161
18.30,52.441934,132.332336
18.31,52.467204,132.380511
18.32,52.492474,132.428686
18.33,52.517745,132.476861
18.34,52.543015,132.525036
18.35,52.568285,132.573212
18.36,52.593555,132.621387
18.37,52.618825,132.669562
18.38,52.644095,132.717737
18.39,52.669365,132.765912
18.40,52.694635,132.814088
18.41,52.719905,132.862263
18.42,52.745175,132.910438
18.43,52.770445,132.958613
18.44,52.795715,133.006788
18.45,52.820985,133.054964
18.46,52.846255,133.103139
18.47,52.871526,133.151314
18.48,52.896796,133.199489
18.49,52.922066,133.247664
18.50,52.947336,133.295839
18.51,52.972606,133.344015
18.52,52.997876,133.392190
18.53,53.023146,133.440365
18.54,53.048416,133.488540
18.55,53.073686,133.536715
18.56,53.098956,133.584891
18.57,53.124226,133.633066
18.58,53.149496,133.681241
18.59,53.174766,133.729416
18.60,53.200036,133.777591
18.61,53.225307,133.825766
18.62,53.250577,133.873942
18.63,53.275847,133.922117
18.64,53.301117,133.970292
18.65,53.326387,134.018467
18.66,53.351657,134.066642
18.67,53.376927,134.114818
18.68,53.402197,134.162993
18.69,53.427467,134.211168
18.70,53.452737,134.259343
18.71,53.478007,134.307518
18.72,53.503277,134.355693
18.73,53.528547,134.403869
18.74,53.553818,134.452044
18.75,53.579088,134.500219
18.76,53.604358,134.548394
18.77,53.629628,134.596569
18.78,53.654898,134.644745
18.79,53.680168,134.692920
18.80,53.705438,134.741095
18.81,53.730708,134.789270
18.82,53.755978,134.837445
18.83,53.781248,134.885620
18.84,53.806518,134.933796
18.85,53.831788,134.981971
18.86,53.857058,135.030146
18.87,53.882328,135.078321
18.88,53.907599,135.126496
18.89,53.932869,135.174672
18.90,53.958139,135.222847
18.91,53.983409,135.271022
18.92,54.008679,135.319197
18.93,54.033949,135.367372
18.94,54.059219,135.415547
18.95,54.084489,135.463723
18.96,54.109759,135.511898
18.97,54.135029,135.560073
18.98,54.160299,135.608248
18.99,54.185569,135.656423
19.00,54.210839,135.704599
19.01,54.236109,135.752774
19.02,54.261380,135.800949
19.03,54.286650,135.849124
19.04,54.311920,135.897299
19.05,54.337190,135.945474
19.06,54.362460,135.993650
19.07,54.387730,136.041825
19.08,54.413000,136.090000
19.09,54.413000,136.090000
19.10,54.413000,136.090000
19.11,54.413000,136.090000
19.12,54.413000,136.090000
19.13,54.413000,136.090000
19.14,54.413000,136.090000
19.15,54.413000,136.090000
19.16,54.413000,136.090000
19.17,54.413000,136.090000
19.18,54.413000,136.090000
19.19,54.413000,136.090000
19.20,54.413000,136.090000
19.21,54.413000,136.090000
19.22,54.413000,136.090000
19.23,54.413000,136.090000
19.24,54.413000,136.090000
19.25,54.413000,136.090000
19.26,54.413000,136.090000
19.27,54.413000,136.090000
19.28,54.413000,136.090000
19.29,54.413000,136.090000
19.30,54.413000,136.090000
19.31,54.413000,136.090000
19.32,54.413000,136.090000
19.33,54.413000,136.090000
19.34,54.413000,136.090000
19.35,54.413000,136.090000
19.36,54.413000,136.090000
19.37,54.413000,136.090000
19.38,54.413000,136.090000
19.39,54.413000,136.090000
19.40,54.413000,136.090000
19.41,54.413000,136.090000
19.42,54.413000,136.090000
19.43,54.413000,136.090000
19.44,54.413000,136.090000
19.45,54.413000,136.090000
19.46,54.413000,136.090000
19.47,54.413000,136.090000
19.48,54.413000,136.090000
19.49,54.413000,136.090000
19.50,54.413000,136.090000
19.51,54.413000,136.090000
19.52,54.413000,136.090000
19.53,54.413000,136.090000
19.54,54.413000,136.090000
19.55,54.413000,136.090000
19.56,54.413000,136.090000
19.57,54.413000,136.090000
19.58,54.413000,136.090000
19.59,54.413000,136.090000
19.60,54.413000,136.090000
19.61,54.413000,136.090000
19.62,54.413000,136.090000
19.63,54.413000,136.090000
19.64,54.413000,136.090000
19.65,54.413000,136.090000
19.66,54.413000,136.090000
19.67,54.413000,136.090000
19.68,54.413000,136.090000
19.69,54.413000,136.090000
19.70,54.413000,136.090000
19.71,54.413000,136.090000
19.72,54.413000,136.090000
19.73,54.413000,136.090000
19.74,54.413000,136.090000
19.75,54.413000,136.090000
19.76,54.413000,136.090000
19.77,54.413000,136.090000
19.78,54.413000,136.090000
19.79,54.413000,136.090000
19.80,54.413000,136.090000
19.81,54.413000,136.090000
19.82,54.413000,136.090000
19.83,54.413000,136.090000
19.84,54.413000,136.090000
19.85,54.413000,136.090000
19.86,54.413000,136.090000
19.87,54.413000,136.090000
19.88,54.413000,136.090000
19.89,54.413000,136.090000
19.90,54.413000,136.090000
19.91,54.413000,136.090000
19.92,54.413000,136.090000
19.93,54.413000,136.090000
19.94,54.413000,136.090000
19.95,54.413000,136.090000
19.96,54.413000,136.090000
19.97,54.413000,136.090000
19.98,54.413000,136.090000
19.99,54.413000,136.090000
20.00,54.413000,136.090000
